id,cc,name,lat,lon,gsn,prcp_pct,tavg_pct
FRM00007037,FR,VALLEE DE SEINE,49.384,1.175,,99.0,99.8
FRM00007100,FR,OUESSANT,48.483,-5.05,,91.1,99.0
FRM00007110,FR,GUIPAVAS,48.448,-4.419,,99.3,99.8
GIM00008495,GI,GIBRALTAR,36.151,-5.35,,95.0,99.8
GMM00010321,GM,DIEPHOLZ,52.5903,8.3464,,100.0,68.1
GMM00010827,GM,MESSSTETTEN,48.1844,8.9925,,99.6,0.0
GMM00010870,GM,SCHWAIGERMOOS,48.3667,11.8,,99.9,99.9
GRM00016622,GR,MAKEDONIA,40.52,22.971,,99.2,99.9
HUM00012772,HU,MISKOLC,48.083,20.767,,90.0,99.9
HUM00012843,HU,BUDAPEST/PESTSZENTLORINC,47.433,19.183,,89.5,99.9
HUM00012882,HU,DEBRECEN,47.489,21.615,,72.7,99.9
HUM00012925,HU,NAGYKANIZSA,46.45,16.967,,75.1,99.9
HUM00012982,HU,SZEGED (AUT),46.25,20.1,,67.7,99.9
IRM00040718,IR,ANZALI,37.467,49.467,,96.1,99.5
ITM00016008,IT,S. VALENTINO ALLA MUTA,46.75,10.533,,77.8,99.9
ITM00016033,IT,DOBBIACO,46.733,12.217,,20.9,93.8
ITM00016045,IT,RIVOLTO,45.979,13.049,,29.0,79.0
ITM00016052,IT,PIAN ROSA (MTN TOP),45.933,7.7,,4.1,86.1
ITM00016061,IT,TORINO/BRIC CROCE,45.033,7.733,,96.4,99.6
ITM00016064,IT,CAMERI,45.53,8.669,,60.5,70.9
KNM00047016,KN,HYESAN,41.4,128.167,,13.7,99.9
KNM00047025,KN,KIMCHAEK/SONGJIN,40.667,129.2,,5.0,99.8
KNM00047035,KN,SINUIJU,40.1,124.383,,11.3,99.9
KNM00047055,KN,WONSAN,39.183,127.433,,11.6,99.9
KNM00047058,KN,PYONGYANG INTL,39.224,125.67,,11.1,99.9
KSM00047101,KS,CHUNCHEON,37.9,127.733,,33.8,99.9
KSM00047105,KS,GANGNEUNG,37.771,128.868,,17.3,99.9
KSM00047108,KS,SEOUL CITY,37.567,126.967,,34.2,99.9
KSM00047133,KS,TAEJON,36.3,127.4,,44.0,99.9
KSM00047138,KS,POHANG,36.033,129.38,,19.3,99.9
KSM00047159,KS,BUSAN,35.1,129.033,,30.8,99.9
LOM00011826,LO,PIESTANY,48.617,17.833,,98.3,99.9
LOM00011903,LO,SLIAC,48.65,19.15,,73.6,74.4
MGM00044203,MG,RINCHINLHUMBE,51.117,99.667,,7.5,99.6
MGM00044207,MG,HATGAL,50.433,100.15,,10.0,99.8
MGM00044213,MG,BARUUNTURUUN,49.65,94.4,,7.4,99.8
MGM00044214,MG,ULGI,48.933,89.933,,5.2,99.8
