track,var,lead,best_fm,best_baseline,n_origins,n_stations,mean_sCRPS_diff,DM_stat,DM_p,wilcoxon_p,DM_p_holm,fm_better,significant_05
nasa_power_bmd,PRECTOTCORR,7,tirex,NHITS,414,35,-0.05825835031537491,-2.6059215659688175,0.00949395076486476,2.4667457161813376e-07,0.21836086759188947,True,False
nasa_power_bmd,PRECTOTCORR,30,tirex,NHITS,414,35,-0.09833511251140346,-3.919486230651378,0.00010385201395014216,2.4667457161813376e-07,0.00384252451615526,True,True
nasa_power_bmd,RH2M,1,toto2,PatchTST,414,35,-0.009945552339602586,-4.894556039454135,1.4154466255269429e-06,2.4667457161813376e-07,6.369509814871243e-05,True,True
nasa_power_bmd,RH2M,7,toto2,PatchTST,414,35,-0.023379009330807873,-3.0342178465523815,0.0025639789800540446,2.4667457161813376e-07,0.07435539042156729,True,False
nasa_power_bmd,RH2M,30,moirai2,PatchTST,414,35,-0.04456875803811541,-2.7952061160544592,0.005428546826411187,2.4667457161813376e-07,0.15199931113951323,True,False
nasa_power_bmd,T2M,1,toto2,AutoARIMA,414,35,-0.007211895244273373,-3.463161067571335,0.0005896506285111891,8.901633481791177e-07,0.01886882011235805,True,True
nasa_power_bmd,T2M,7,chronos2,PatchTST,414,35,-0.030550038475903794,-3.1655171489313942,0.0016627761135374662,2.4667457161813376e-07,0.04988328340612399,True,True
nasa_power_bmd,T2M,30,chronos2,lightgbm,414,35,-0.02701475811464679,-1.1472166640894232,0.25195623229541175,1.1059455573558807e-09,1.0,True,False
nasa_power_ghcn_bangladesh,PRECTOTCORR,1,toto2,PatchTST,414,10,-0.035316601488991156,-4.880483499203076,1.5143477298662734e-06,0.001953125,6.663130011411603e-05,True,True
nasa_power_ghcn_bangladesh,PRECTOTCORR,7,tirex,NHITS,414,10,-0.09098714416740349,-3.7553260234603405,0.0001979638244227203,0.001953125,0.006928733854795211,True,True
nasa_power_ghcn_bangladesh,PRECTOTCORR,30,tirex,NHITS,414,10,-0.08798313644371682,-4.007103511951566,7.291710976052288e-05,0.001953125,0.002843767280660392,True,True
nasa_power_ghcn_bangladesh,T2M,1,toto2,AutoARIMA,414,10,-0.005679356195034355,-2.6465091128137557,0.00844356986147643,0.009765625,0.21108924653691075,True,False
nasa_power_ghcn_bangladesh,T2M,7,chronos2,PatchTST,414,10,-0.018512878918145122,-2.321713134591746,0.02073409170397303,0.001953125,0.45615001748740663,True,False
nasa_power_ghcn_bangladesh,T2M,30,chronos2,lightgbm,414,10,-0.02437491596394314,-1.0655407811484625,0.28725380704704656,0.001953125,1.0,True,False
nasa_power_ghcn_temperate,PRECTOTCORR,1,tirex,NHITS,414,32,-0.006970790109222495,-5.252101102128227,2.413017821707699e-07,4.9545939044197315e-05,1.1099881979855416e-05,True,True
nasa_power_ghcn_temperate,PRECTOTCORR,7,tirex,climatology,414,32,0.005517025529616432,3.9441927604564166,9.405701590455877e-05,8.569256650940367e-06,0.003574166604373233,False,True
nasa_power_ghcn_temperate,PRECTOTCORR,30,tirex,climatology,414,32,0.007642670870656464,6.082064321926084,2.7055667207388887e-09,9.621331116821267e-07,1.2716163587472776e-07,False,True
nasa_power_ghcn_temperate,T2M,1,tirex,AutoARIMA,414,32,-0.0037525170607229778,-4.560316817713444,6.740938878169277e-06,0.0015766634678722451,0.00028311943288310965,True,True
nasa_power_ghcn_temperate,T2M,7,chronos2,AutoARIMA,414,32,-0.009011330897282784,-2.671398268730626,0.007852250804248732,0.00017088788935035827,0.20415852091046702,True,False
nasa_power_ghcn_temperate,T2M,30,chronos2,AutoARIMA,414,32,-0.009267959807513234,-1.6341853244603173,0.10298193203672833,0.05894086201669474,1.0,True,False
