var,lead,model,spell,n_events,CRPSS,ci_lo,ci_hi,significant_05
Humidity,30,timesfm25,break,21,0.21502325107502862,0.1682130882692545,0.2582731178710461,True
Humidity,7,tirex,active,11,-0.20747833345418476,-0.33941860440685495,-0.09321570469226584,True
Humidity,7,tirex,break,18,0.22561880778198373,0.14401226830299693,0.2930426394332214,True
Humidity,30,tirex,active,12,-0.21156523256101445,-0.3527033778222035,-0.0990425361262093,True
Humidity,30,tirex,break,21,0.23189557324684884,0.1750942281574606,0.2793533164478883,True
Humidity,7,PatchTST,active,11,-0.06052478142604123,-0.14052336644963406,0.03220071140836696,False
Humidity,7,PatchTST,break,18,0.1748348863568494,0.09303649280995877,0.2507846057944879,True
Humidity,30,PatchTST,active,12,-0.10766683816458666,-0.22409059659147015,-0.01229209089337322,True
Humidity,30,PatchTST,break,21,0.13348642651735054,0.07136751552066982,0.20586613964054132,True
Humidity,7,NHITS,active,11,-0.14067807516975162,-0.23771514001062422,-0.03478692218147665,True
Humidity,7,NHITS,break,18,0.12603732157696768,0.045428929071827016,0.20895154447587783,True
Humidity,30,NHITS,active,12,-0.1159298430549105,-0.24383538419778197,-0.012641130623323855,True
Humidity,30,NHITS,break,21,0.09776246194537352,0.036751677997049995,0.1634296151050434,True
