lead,monsoon_phase,MASE,sCRPS,n,var,model
1,withdrawal,0.43704081107318576,0.3990342613421662,1188,Rainfall,DLinear
7,dry,0.06684876190438838,0.07510020283903475,4092,Rainfall,DLinear
7,onset,1.3377235155567717,1.236589807219152,627,Rainfall,DLinear
7,peak,1.4488456957348987,1.346884245373681,4841,Rainfall,DLinear
7,pre_monsoon,0.6599927265647672,0.6064953958808187,3668,Rainfall,DLinear
7,withdrawal,0.31483696252795706,0.27085873140280015,1184,Rainfall,DLinear
30,dry,0.11639064281208637,0.1288964442898145,4128,Rainfall,DLinear
30,onset,1.4621711944693498,1.3383542007659857,595,Rainfall,DLinear
30,peak,1.342781769803376,1.229696496426761,4885,Rainfall,DLinear
30,pre_monsoon,0.653145796448572,0.5917631835655911,3630,Rainfall,DLinear
30,withdrawal,0.8279435240537172,0.7700686587656018,1174,Rainfall,DLinear
1,dry,0.04208569320339467,0.0415259750325421,4091,Rainfall,NHITS
1,onset,1.4171086340247443,1.1994618606406977,590,Rainfall,NHITS
1,peak,1.1059391064236779,0.9268856143689445,4875,Rainfall,NHITS
1,pre_monsoon,0.42311857043978196,0.3865849824670466,3668,Rainfall,NHITS
1,withdrawal,0.33661469805135763,0.3155253650370227,1188,Rainfall,NHITS
7,dry,0.06867986111276024,0.06780834458176464,4092,Rainfall,NHITS
7,onset,0.8916731721275032,0.7861377190934092,627,Rainfall,NHITS
7,peak,1.2396807169321553,1.0336562438410664,4841,Rainfall,NHITS
7,pre_monsoon,0.583205968929334,0.5117848287450343,3668,Rainfall,NHITS
7,withdrawal,0.20099783653576878,0.19000050443953231,1184,Rainfall,NHITS
30,dry,0.13481200086736894,0.1291945712624395,4128,Rainfall,NHITS
30,onset,1.1624884546056726,0.969403630992725,595,Rainfall,NHITS
30,peak,1.076162051519039,0.9067738191769616,4885,Rainfall,NHITS
30,pre_monsoon,0.5538706699191119,0.4928653179498033,3630,Rainfall,NHITS
30,withdrawal,0.7356152891816014,0.705182409633162,1174,Rainfall,NHITS
1,dry,0.06208981836675295,0.05969904330791314,4091,Rainfall,PatchTST
1,onset,1.450121937519177,1.2392790800498916,590,Rainfall,PatchTST
1,peak,1.1641088385842815,0.9682243591243086,4875,Rainfall,PatchTST
1,pre_monsoon,0.4801216276014076,0.42393548416666016,3668,Rainfall,PatchTST
1,withdrawal,0.3796739566578953,0.33639301787549003,1188,Rainfall,PatchTST
7,dry,0.075407195030118,0.08070360491479302,4092,Rainfall,PatchTST
7,onset,1.0343304180524857,0.8454368799903755,627,Rainfall,PatchTST
7,peak,1.29821999336917,1.0792455160231456,4841,Rainfall,PatchTST
7,pre_monsoon,0.6122476914456129,0.544303334189296,3668,Rainfall,PatchTST
7,withdrawal,0.23148699050703112,0.22069657209789711,1184,Rainfall,PatchTST
30,dry,0.12345629915749445,0.1375019506895654,4128,Rainfall,PatchTST
30,onset,1.2218683382245819,1.0163421049666272,595,Rainfall,PatchTST
30,peak,1.1338019153756234,0.9417682276799156,4885,Rainfall,PatchTST
30,pre_monsoon,0.5701111988078972,0.5145605995850929,3630,Rainfall,PatchTST
30,withdrawal,0.7380807874543329,0.7120372423593834,1174,Rainfall,PatchTST
1,dry,0.042075671395010936,0.040389592204070554,4091,Rainfall,chronos2
1,onset,1.424008005935516,1.2130306584471475,590,Rainfall,chronos2
1,peak,1.114171019418106,0.92955275623313,4875,Rainfall,chronos2
1,pre_monsoon,0.4116775177762901,0.3701878875382778,3668,Rainfall,chronos2
1,withdrawal,0.33027872530411123,0.31642894783659686,1188,Rainfall,chronos2
7,dry,0.06722338396846077,0.06542892328961691,4092,Rainfall,chronos2
7,onset,0.853098856859847,0.7521123570704846,627,Rainfall,chronos2
7,peak,1.2399725198834488,1.0378707624353205,4841,Rainfall,chronos2
7,pre_monsoon,0.5755078067378084,0.5085195333612735,3668,Rainfall,chronos2
7,withdrawal,0.1793292339070671,0.17496947327079784,1184,Rainfall,chronos2
30,dry,0.11870063376282142,0.11744362530062658,4128,Rainfall,chronos2
30,onset,1.1348894211202327,0.9519535516438001,595,Rainfall,chronos2
30,peak,1.0574373033909064,0.9032043901137288,4885,Rainfall,chronos2
30,pre_monsoon,0.5360600084091666,0.4772958646956802,3630,Rainfall,chronos2
30,withdrawal,0.7099952666286203,0.6976231168625902,1174,Rainfall,chronos2
1,dry,0.03995411907700552,0.040297603541578075,4091,Rainfall,chronos_bolt
1,onset,1.4254346113082734,1.22514759301464,590,Rainfall,chronos_bolt
1,peak,1.1120961329381902,0.9435644261603195,4875,Rainfall,chronos_bolt
1,pre_monsoon,0.41265980870879754,0.3698022978677894,3668,Rainfall,chronos_bolt
1,withdrawal,0.3330102194440049,0.3252725763765979,1188,Rainfall,chronos_bolt
7,dry,0.06495205723773907,0.06439506148152323,4092,Rainfall,chronos_bolt
7,onset,0.8488914983584765,0.747257499989978,627,Rainfall,chronos_bolt
7,peak,1.2381062980717934,1.0494487531255248,4841,Rainfall,chronos_bolt
7,pre_monsoon,0.580919286564283,0.5156401288383121,3668,Rainfall,chronos_bolt
7,withdrawal,0.1807371816551632,0.17643572723376708,1184,Rainfall,chronos_bolt
30,dry,0.11558054942475854,0.1164839664077174,4128,Rainfall,chronos_bolt
30,onset,1.1322139856615085,0.9522226840661768,595,Rainfall,chronos_bolt
30,peak,1.0576945846552053,0.8986483870121046,4885,Rainfall,chronos_bolt
30,pre_monsoon,0.5414115981602132,0.481554697106283,3630,Rainfall,chronos_bolt
30,withdrawal,0.708815744352684,0.6950808082427707,1174,Rainfall,chronos_bolt
1,dry,0.037163294703100355,0.037164340124757334,4091,Rainfall,climatology
1,onset,1.4418650491373073,1.236735411699542,590,Rainfall,climatology
1,peak,1.1493749049306108,0.9682472797625762,4875,Rainfall,climatology
1,pre_monsoon,0.40182570643477866,0.3648275595196695,3668,Rainfall,climatology
1,withdrawal,0.3225665846840222,0.3170974429398532,1188,Rainfall,climatology
7,dry,0.061677109519260975,0.06163030741861161,4092,Rainfall,climatology
7,onset,0.8492398480004443,0.7525081919084783,627,Rainfall,climatology
7,peak,1.2258918787923574,1.019979071624966,4841,Rainfall,climatology
7,pre_monsoon,0.5738479419060822,0.5031563136877323,3668,Rainfall,climatology
7,withdrawal,0.17276097081424072,0.16720299257931598,1184,Rainfall,climatology
30,dry,0.11356447690679547,0.11355603124770265,4128,Rainfall,climatology
30,onset,1.120120540325114,0.9430745160877065,595,Rainfall,climatology
30,peak,1.0504999624158884,0.8904477075911897,4885,Rainfall,climatology
30,pre_monsoon,0.5326672763717747,0.47795659039399996,3630,Rainfall,climatology
30,withdrawal,0.7027597009845349,0.6868611997419567,1174,Rainfall,climatology
1,dry,0.07823989366200156,0.08690620786162531,4091,Rainfall,lightgbm
1,onset,1.7469006743595463,1.4644918213955829,590,Rainfall,lightgbm
1,peak,1.4786009418897137,1.1998997894795354,4875,Rainfall,lightgbm
1,pre_monsoon,0.622263342605402,0.4698182706792652,3668,Rainfall,lightgbm
1,withdrawal,0.5651132973596247,0.4299208979880886,1188,Rainfall,lightgbm
7,dry,0.10618419503085527,0.10854438284985539,4092,Rainfall,lightgbm
7,onset,1.4301639774399149,1.1162207670282636,627,Rainfall,lightgbm
7,peak,1.5089419759192675,1.2406802073280867,4841,Rainfall,lightgbm
7,pre_monsoon,0.7285419476184877,0.5832149579804747,3668,Rainfall,lightgbm
7,withdrawal,0.40902469201564506,0.2789131028464544,1184,Rainfall,lightgbm
30,dry,0.15786107596311041,0.1619620074194059,4128,Rainfall,lightgbm
30,onset,1.533069293479158,1.237942133499708,595,Rainfall,lightgbm
30,peak,1.4209978974637505,1.1337154178114608,4885,Rainfall,lightgbm
30,pre_monsoon,0.7283006337577916,0.5729339280556214,3630,Rainfall,lightgbm
30,withdrawal,0.9048844798369907,0.7679032465202679,1174,Rainfall,lightgbm
1,dry,0.04124659530140746,0.039655140780492766,4091,Rainfall,moirai2
1,onset,1.4183158991107436,1.2241203603866933,590,Rainfall,moirai2
1,peak,1.1105648653542295,0.9289490938414076,4875,Rainfall,moirai2
1,pre_monsoon,0.4123488970121497,0.37025570769345667,3668,Rainfall,moirai2
1,withdrawal,0.3354070081573741,0.3254730155044245,1188,Rainfall,moirai2
7,dry,0.06354064979007874,0.06373734221312488,4092,Rainfall,moirai2
7,onset,0.853032402843095,0.7481449347042366,627,Rainfall,moirai2
7,peak,1.2343987030463608,1.0392282192226678,4841,Rainfall,moirai2
7,pre_monsoon,0.5746197559467824,0.5132078560245653,3668,Rainfall,moirai2
7,withdrawal,0.18348376289859078,0.1804170923894791,1184,Rainfall,moirai2
30,dry,0.11899474367374165,0.11762977523237685,4128,Rainfall,moirai2
30,onset,1.129113948171734,0.9449364632075118,595,Rainfall,moirai2
30,peak,1.0524576665639374,0.8908564656549074,4885,Rainfall,moirai2
30,pre_monsoon,0.5351415104566755,0.4837876321919689,3630,Rainfall,moirai2
30,withdrawal,0.7157997697789069,0.7005528894379773,1174,Rainfall,moirai2
1,dry,0.06680926618860555,0.08584254911845197,4091,Rainfall,naive
1,onset,1.6196174638673833,1.5184749150190178,590,Rainfall,naive
1,peak,1.491217992252018,1.3895542776048488,4875,Rainfall,naive
1,pre_monsoon,0.776852220942546,0.7372104722819639,3668,Rainfall,naive
1,withdrawal,0.37116804174203905,0.36874993466775235,1188,Rainfall,naive
7,dry,0.08177654421599531,0.1084993151414985,4092,Rainfall,naive
7,onset,1.5492152304145073,1.4161305472595414,627,Rainfall,naive
7,peak,1.909038518489931,1.7494466815666079,4841,Rainfall,naive
7,pre_monsoon,0.8942972068864622,0.8341562959796606,3668,Rainfall,naive
7,withdrawal,0.5266347315728349,0.4948361498311806,1184,Rainfall,naive
30,dry,0.1813553438200417,0.20186123308483966,4128,Rainfall,naive
30,onset,1.3865295364095198,1.2501646715347967,595,Rainfall,naive
30,peak,1.7829622827732643,1.6263379197291772,4885,Rainfall,naive
30,pre_monsoon,0.7102066901265123,0.6678756110815678,3630,Rainfall,naive
30,withdrawal,1.3736814942793756,1.2840829403718277,1174,Rainfall,naive
1,dry,0.0981201805885423,0.12209499552808686,4091,Rainfall,seasonal_naive
1,onset,1.711786397092978,1.5861312704800619,590,Rainfall,seasonal_naive
1,peak,1.8164519261616365,1.6746170357971122,4875,Rainfall,seasonal_naive
1,pre_monsoon,0.8199020275179244,0.7657436766477614,3668,Rainfall,seasonal_naive
1,withdrawal,0.464449560654378,0.45858456491732474,1188,Rainfall,seasonal_naive
7,dry,0.09501039896712969,0.11927420670829217,4092,Rainfall,seasonal_naive
7,onset,1.529241022487766,1.4088144009125196,627,Rainfall,seasonal_naive
7,peak,1.865019927751156,1.7171446093038514,4841,Rainfall,seasonal_naive
7,pre_monsoon,0.8608339625999178,0.801345141988738,3668,Rainfall,seasonal_naive
7,withdrawal,0.3042742215836298,0.3019731682313621,1184,Rainfall,seasonal_naive
30,dry,0.14167988009504634,0.1638334374010986,4128,Rainfall,seasonal_naive
30,onset,1.957247692156352,1.8148521030333857,595,Rainfall,seasonal_naive
30,peak,1.7017436466177067,1.5682424672142654,4885,Rainfall,seasonal_naive
30,pre_monsoon,0.7937504698072784,0.7410169166027903,3630,Rainfall,seasonal_naive
30,withdrawal,0.9929377328482178,0.9668118095290641,1174,Rainfall,seasonal_naive
1,dry,0.06615923089429929,0.06154375068967302,4091,Rainfall,sundial
1,onset,1.4618184318397065,1.3150927063000923,590,Rainfall,sundial
1,peak,1.1791423578707119,1.0376433522969568,4875,Rainfall,sundial
1,pre_monsoon,0.5104355480739554,0.46091146294782015,3668,Rainfall,sundial
1,withdrawal,0.4102609641999557,0.3884415476742805,1188,Rainfall,sundial
7,dry,0.10495873130810777,0.09732812781386434,4092,Rainfall,sundial
7,onset,1.0804453663619336,0.9524682883540447,627,Rainfall,sundial
7,peak,1.2988850709902768,1.1544357140277444,4841,Rainfall,sundial
7,pre_monsoon,0.6549328700079831,0.5964028634550406,3668,Rainfall,sundial
7,withdrawal,0.3110131171850161,0.28796541438297824,1184,Rainfall,sundial
30,dry,0.15970650345001147,0.14499985688712025,4128,Rainfall,sundial
30,onset,1.2723011681994265,1.1157333667508391,595,Rainfall,sundial
30,peak,1.1441197431838086,1.0122718510108666,4885,Rainfall,sundial
30,pre_monsoon,0.6430723868111513,0.573736761334972,3630,Rainfall,sundial
30,withdrawal,0.8312330976153484,0.7875350770881917,1174,Rainfall,sundial
1,dry,0.04100841997926377,0.042602993903225715,4091,Rainfall,timesfm25
1,onset,1.4150266765835904,1.2466930935458393,590,Rainfall,timesfm25
1,peak,1.1241494116297008,0.9576573214109857,4875,Rainfall,timesfm25
1,pre_monsoon,0.4296431194619411,0.3816492562109169,3668,Rainfall,timesfm25
1,withdrawal,0.3551388207398495,0.3377830214315653,1188,Rainfall,timesfm25
7,dry,0.06367543038841128,0.06577384409499405,4092,Rainfall,timesfm25
7,onset,0.871105462450408,0.7453463371859597,627,Rainfall,timesfm25
7,peak,1.2372686706094176,1.044455806162427,4841,Rainfall,timesfm25
7,pre_monsoon,0.572027304476083,0.5169083436943592,3668,Rainfall,timesfm25
7,withdrawal,0.19119316964305666,0.18576904123857602,1184,Rainfall,timesfm25
30,dry,0.12063644196461859,0.12299034267023107,4128,Rainfall,timesfm25
30,onset,1.1394893662060148,0.9537843167479704,595,Rainfall,timesfm25
30,peak,1.0518187729900006,0.8904992810189547,4885,Rainfall,timesfm25
30,pre_monsoon,0.540150323810109,0.48942150874060514,3630,Rainfall,timesfm25
30,withdrawal,0.7141986681322937,0.7015062830499283,1174,Rainfall,timesfm25
1,dry,0.03977147429638499,0.03881057476868843,4091,Rainfall,tirex
1,onset,1.4174526916965613,1.2172076386716897,590,Rainfall,tirex
1,peak,1.1127471774266466,0.9237215019573692,4875,Rainfall,tirex
1,pre_monsoon,0.4155923648685356,0.37246157975876165,3668,Rainfall,tirex
1,withdrawal,0.32790016913295644,0.30998661312290504,1188,Rainfall,tirex
7,dry,0.06428794315791339,0.06344701224286117,4092,Rainfall,tirex
7,onset,0.8440332755863578,0.7384658155411751,627,Rainfall,tirex
7,peak,1.240817576002538,1.0368479631369325,4841,Rainfall,tirex
7,pre_monsoon,0.5719862651174277,0.5086928092984448,3668,Rainfall,tirex
7,withdrawal,0.17747687523520334,0.1756149418272195,1184,Rainfall,tirex
30,dry,0.11675120986510737,0.11635219949407893,4128,Rainfall,tirex
30,onset,1.128564142826663,0.9451437883432446,595,Rainfall,tirex
30,peak,1.057335092615228,0.8945080554006997,4885,Rainfall,tirex
30,pre_monsoon,0.5339581116973905,0.4767185133415528,3630,Rainfall,tirex
30,withdrawal,0.7063189697774581,0.6897469838319675,1174,Rainfall,tirex
1,dry,0.038143283210195805,0.03942322578760394,4091,Rainfall,toto2
1,onset,1.4098478663843776,1.21350783404982,590,Rainfall,toto2
1,peak,1.1178561296815606,0.928159516812171,4875,Rainfall,toto2
1,pre_monsoon,0.42448693663510717,0.3755416711862635,3668,Rainfall,toto2
1,withdrawal,0.33273122529658655,0.3058458902775976,1188,Rainfall,toto2
7,dry,0.062158387761766846,0.06277148211778515,4092,Rainfall,toto2
7,onset,0.8584437466181367,0.748426739874258,627,Rainfall,toto2
7,peak,1.2382433989137769,1.0362915507481607,4841,Rainfall,toto2
7,pre_monsoon,0.5717991128105797,0.511649309761842,3668,Rainfall,toto2
7,withdrawal,0.17543963286190728,0.17696425211167907,1184,Rainfall,toto2
30,dry,0.1142132568826009,0.11555350318935942,4128,Rainfall,toto2
30,onset,1.151804746047926,0.9568433679637857,595,Rainfall,toto2
30,peak,1.06010498066511,0.9003355002305643,4885,Rainfall,toto2
30,pre_monsoon,0.5332220475289267,0.48292232057817014,3630,Rainfall,toto2
30,withdrawal,0.7041041462000945,0.688735269213438,1174,Rainfall,toto2
1,dry,0.15077737450413806,0.15077737450413806,4091,Rainfall,ttm_r2
1,onset,1.5733425648498862,1.5733425648498862,590,Rainfall,ttm_r2
1,peak,1.333435509334077,1.333435509334077,4875,Rainfall,ttm_r2
1,pre_monsoon,0.6069254639799552,0.6069254639799552,3668,Rainfall,ttm_r2
1,withdrawal,0.6038404112241433,0.6038404112241434,1188,Rainfall,ttm_r2
7,dry,0.22006133345890364,0.22006133345890364,4092,Rainfall,ttm_r2
7,onset,1.2205642815529893,1.2205642815529893,627,Rainfall,ttm_r2
7,peak,1.4513354070303541,1.4513354070303541,4841,Rainfall,ttm_r2
7,pre_monsoon,0.7068431264222624,0.7068431264222624,3668,Rainfall,ttm_r2
7,withdrawal,0.5918315561018485,0.5918315561018485,1184,Rainfall,ttm_r2
30,dry,0.3902217090371529,0.3902217090371529,4128,Rainfall,ttm_r2
30,onset,1.2308068558141358,1.2308068558141358,595,Rainfall,ttm_r2
30,peak,1.2855707581979745,1.2855707581979745,4885,Rainfall,ttm_r2
30,pre_monsoon,0.6653857170927214,0.6653857170927214,3630,Rainfall,ttm_r2
30,withdrawal,1.145095493610455,1.145095493610455,1174,Rainfall,ttm_r2
1,dry,0.4728200712682105,0.37486357687887867,3751,Temperature,AutoARIMA
1,onset,0.6202013163130538,0.4789912475792448,568,Temperature,AutoARIMA
1,peak,0.4554632604298304,0.35283920750893516,4659,Temperature,AutoARIMA
1,pre_monsoon,0.5734315640333454,0.456367010381182,3452,Temperature,AutoARIMA
1,withdrawal,0.45644473199981506,0.3692949786955806,1031,Temperature,AutoARIMA
7,dry,0.7351763129015021,0.5716415087335938,3736,Temperature,AutoARIMA
7,onset,0.8160457039945268,0.6293879061945198,605,Temperature,AutoARIMA
7,peak,0.6521754329698516,0.5042598311992064,4636,Temperature,AutoARIMA
7,pre_monsoon,0.7989185196446716,0.6146372917834544,3444,Temperature,AutoARIMA
7,withdrawal,0.6585392911663286,0.5112292304698264,1040,Temperature,AutoARIMA
30,dry,0.8410216113727959,0.6532761525175379,3704,Temperature,AutoARIMA
30,onset,0.82469089916634,0.633532655790991,566,Temperature,AutoARIMA
30,peak,0.658117640459939,0.505909295751785,4677,Temperature,AutoARIMA
30,pre_monsoon,0.9090950402213345,0.7053791797385784,3388,Temperature,AutoARIMA
30,withdrawal,0.704609087871824,0.5537772339478587,1126,Temperature,AutoARIMA
1,dry,0.4963283167123932,0.39665227598049985,3751,Temperature,AutoETS
1,onset,0.639675950290017,0.5020369111146877,568,Temperature,AutoETS
1,peak,0.4841184550438489,0.37989592059920363,4659,Temperature,AutoETS
1,pre_monsoon,0.5975170350901386,0.4817612734632267,3452,Temperature,AutoETS
1,withdrawal,0.46293836495897756,0.38446644556825144,1031,Temperature,AutoETS
7,dry,0.9226395982257208,0.732256636850641,3736,Temperature,AutoETS
7,onset,1.1482524479531335,0.8791737277444946,605,Temperature,AutoETS
7,peak,0.8228851490207861,0.6751070639758585,4636,Temperature,AutoETS
7,pre_monsoon,0.9372964123834868,0.7532890184708184,3444,Temperature,AutoETS
7,withdrawal,1.0460300820917563,0.803837134962345,1040,Temperature,AutoETS
30,dry,1.0660968819117866,1.0621307578354158,3704,Temperature,AutoETS
30,onset,1.2074373996818726,1.0923447510458792,566,Temperature,AutoETS
30,peak,0.8636424462136564,0.9737136245436505,4677,Temperature,AutoETS
30,pre_monsoon,1.1380558317003524,1.0888359799430765,3388,Temperature,AutoETS
30,withdrawal,0.9018853526833106,0.9842681373015373,1126,Temperature,AutoETS
1,dry,0.4964479516503242,0.4014352791646741,3751,Temperature,AutoTheta
1,onset,0.6398616568534535,0.5011466090473067,568,Temperature,AutoTheta
1,peak,0.4841586724112472,0.38317994911521924,4659,Temperature,AutoTheta
1,pre_monsoon,0.5974525378616486,0.4837634315506925,3452,Temperature,AutoTheta
1,withdrawal,0.4631695551909699,0.39410299854824526,1031,Temperature,AutoTheta
7,dry,0.9227648107172005,0.7386882576683799,3736,Temperature,AutoTheta
7,onset,1.1483663772944737,0.8823989742948243,605,Temperature,AutoTheta
7,peak,0.8229713671074559,0.6835974600797848,4636,Temperature,AutoTheta
7,pre_monsoon,0.9375756099394225,0.7599835414414794,3444,Temperature,AutoTheta
7,withdrawal,1.045935288770355,0.8064667537742668,1040,Temperature,AutoTheta
30,dry,1.067583515989812,1.088169246818464,3704,Temperature,AutoTheta
30,onset,1.2087024971015434,1.1224738339958664,566,Temperature,AutoTheta
30,peak,0.8642649572586882,1.0090080809902986,4677,Temperature,AutoTheta
30,pre_monsoon,1.1385344071260157,1.1145215703582396,3388,Temperature,AutoTheta
30,withdrawal,0.9038046709311968,1.0072241965788638,1126,Temperature,AutoTheta
1,dry,0.5282334021683489,0.4544544732441674,3751,Temperature,DLinear
1,onset,0.6470615693087657,0.5660693635938385,568,Temperature,DLinear
1,peak,0.4684785486305063,0.3997893460590325,4659,Temperature,DLinear
1,pre_monsoon,0.6183140094530829,0.5446649333640969,3452,Temperature,DLinear
1,withdrawal,0.5028300324965154,0.4388156923090358,1031,Temperature,DLinear
7,dry,0.7172309557233827,0.6349962288296749,3736,Temperature,DLinear
7,onset,0.8020152206641149,0.7218097363564102,605,Temperature,DLinear
7,peak,0.6422654944696602,0.5627691591364175,4636,Temperature,DLinear
7,pre_monsoon,0.7951427798651776,0.7114030430557248,3444,Temperature,DLinear
7,withdrawal,0.6752605624763369,0.5905999931692433,1040,Temperature,DLinear
30,dry,0.8153955620129095,0.727483532815337,3704,Temperature,DLinear
30,onset,0.8126942473988512,0.7215977277999067,566,Temperature,DLinear
30,peak,0.6421980544519792,0.5591329762947524,4677,Temperature,DLinear
30,pre_monsoon,0.9171210803365536,0.8221363213753475,3388,Temperature,DLinear
30,withdrawal,0.6784880218119708,0.5974577999806573,1126,Temperature,DLinear
1,dry,0.48585562859431886,0.3834006559822273,3751,Temperature,NHITS
1,onset,0.6539670713062801,0.5036875287789989,568,Temperature,NHITS
1,peak,0.4709063660946193,0.3655243509973017,4659,Temperature,NHITS
1,pre_monsoon,0.5838180002214327,0.46568722031162924,3452,Temperature,NHITS
1,withdrawal,0.4794841790803172,0.38135205593094607,1031,Temperature,NHITS
7,dry,0.7810894341020914,0.6132682453695297,3736,Temperature,NHITS
7,onset,0.8231043414265641,0.6605333454084821,605,Temperature,NHITS
7,peak,0.6720855843740866,0.5293477353499721,4636,Temperature,NHITS
7,pre_monsoon,0.8848867714556559,0.6965218974621975,3444,Temperature,NHITS
7,withdrawal,0.7010201637195087,0.5502156975732111,1040,Temperature,NHITS
30,dry,0.8739349682498454,0.6952333181749816,3704,Temperature,NHITS
30,onset,0.8771047611554623,0.690276494225845,566,Temperature,NHITS
30,peak,0.6575071722821132,0.5150184509497507,4677,Temperature,NHITS
30,pre_monsoon,0.984091199411953,0.7792760278023129,3388,Temperature,NHITS
30,withdrawal,0.7209635684968189,0.576890439418111,1126,Temperature,NHITS
1,dry,0.4927924897319497,0.38346515678025517,3751,Temperature,PatchTST
1,onset,0.6462155010312987,0.4931901488692326,568,Temperature,PatchTST
1,peak,0.4445616810864115,0.35271911671468764,4659,Temperature,PatchTST
1,pre_monsoon,0.5751437860070615,0.4568396999238941,3452,Temperature,PatchTST
1,withdrawal,0.47408826154528727,0.3702210104269014,1031,Temperature,PatchTST
7,dry,0.719456124293423,0.564116515391484,3736,Temperature,PatchTST
7,onset,0.8179338244109104,0.6405317306181818,605,Temperature,PatchTST
7,peak,0.63692761037836,0.493158281562883,4636,Temperature,PatchTST
7,pre_monsoon,0.804862537849055,0.6145792370257928,3444,Temperature,PatchTST
7,withdrawal,0.667796513079091,0.5271919263967846,1040,Temperature,PatchTST
30,dry,0.83917583225485,0.652803898298477,3704,Temperature,PatchTST
30,onset,0.7901623781355809,0.6096513410492533,566,Temperature,PatchTST
30,peak,0.6517189724065475,0.5081380066703584,4677,Temperature,PatchTST
30,pre_monsoon,0.9116598175009001,0.7126578670257974,3388,Temperature,PatchTST
30,withdrawal,0.724270339917456,0.5738122951447073,1126,Temperature,PatchTST
1,dry,0.48777615770008637,0.381894714505702,3751,Temperature,chronos2
