track,var,lead,model,CRPSS,ci_lo,ci_hi,beats_climatology_95
bmd,Sunshine,1,NHITS,0.1625166157130471,0.13515683024162314,0.1890349699814014,True
bmd,Sunshine,7,NHITS,0.023251243388361154,-0.004163461271022478,0.043769088808819155,False
bmd,Sunshine,30,NHITS,0.018576352185338596,-0.0017599341637980382,0.03242967845653058,False
bmd,Temperature,1,chronos2,0.34808154756204035,0.3168158156264104,0.37562513538193715,True
bmd,Temperature,7,chronos2,0.055567693010137975,0.027684239992978744,0.08073592708731679,True
bmd,Temperature,30,chronos2,0.033917961343390424,-0.004891616245102337,0.06865631057353389,False
bmd,Temperature,1,tirex,0.3627428782888896,0.32474729462705376,0.39622269192592857,True
bmd,Temperature,7,tirex,0.04345089504624278,0.012219269619332802,0.07258097838525686,True
bmd,Temperature,30,tirex,0.006460126560655977,-0.03387007357351448,0.0415154294899236,False
bmd,Temperature,1,timesfm25,0.362122707666665,0.3248653674028367,0.3941452101670647,True
bmd,Temperature,7,timesfm25,0.05564006192537152,0.02569645438544924,0.0843235425987847,True
bmd,Temperature,30,timesfm25,0.0295497267874274,-0.006192523558963836,0.06277426613068983,False
bmd,Temperature,1,toto2,0.2976838350845872,0.2550180235564336,0.33259909943323873,True
bmd,Temperature,7,toto2,-0.025133070803632807,-0.06106585920324265,0.01070141418719105,False
bmd,Temperature,30,toto2,-0.06665289758440429,-0.11282351594499264,-0.030420060295333704,False
bmd,Temperature,1,moirai2,0.35460015249265553,0.31719133533800714,0.38749444509688225,True
bmd,Temperature,7,moirai2,0.025134757382492712,-0.008213856567083695,0.05606468139149443,False
bmd,Temperature,30,moirai2,-0.012676851638377062,-0.06058734680274598,0.0307318530240132,False
bmd,Temperature,1,chronos_bolt,0.3465747320580306,0.31218246976714986,0.37687272759037,True
bmd,Temperature,7,chronos_bolt,0.02129982951163789,-0.011909127581193118,0.052019384978855276,False
bmd,Temperature,30,chronos_bolt,-0.06028857555290923,-0.11450053462303623,-0.015544665020660608,False
bmd,Temperature,1,PatchTST,0.34351334356514984,0.3103051567262623,0.374231632031127,True
bmd,Temperature,7,PatchTST,0.06412716450766398,0.03898783805911113,0.08766516776684119,True
bmd,Temperature,30,PatchTST,0.018085824379183157,-0.0081310441024042,0.041658744654706835,False
bmd,Temperature,1,AutoARIMA,0.34839597989402493,0.31457767576644524,0.3785916254069051,True
bmd,Temperature,7,AutoARIMA,0.05684459901213634,0.035210316821874955,0.07651429684740998,True
bmd,Temperature,30,AutoARIMA,0.023472205974295335,-0.004058582662162241,0.047410268764229976,False
bmd,Temperature,1,NHITS,0.3303458958985632,0.295946928796056,0.3619616486487602,True
bmd,Temperature,7,NHITS,-0.020622361549615054,-0.055601852377746085,0.010806644331269601,False
bmd,Temperature,30,NHITS,-0.037712542859924314,-0.07646073566244505,-0.005427175059955081,False
ghcn_bangladesh,Rainfall,1,chronos2,0.1096707229288344,0.054346732701771726,0.16071131969304847,True
ghcn_bangladesh,Rainfall,7,chronos2,0.010502942990620934,-0.016815104563566878,0.03241804762209444,False
ghcn_bangladesh,Rainfall,30,chronos2,0.027837772779080172,0.0010625084269282382,0.054806345626622496,True
ghcn_bangladesh,Rainfall,1,tirex,0.11644772420906846,0.04053830070488462,0.1882549917917958,True
ghcn_bangladesh,Rainfall,7,tirex,-0.013344669465002568,-0.06449795325353093,0.018187251546789376,False
ghcn_bangladesh,Rainfall,30,tirex,-0.003471437908251218,-0.061741631758775235,0.03733011883910682,False
ghcn_bangladesh,Rainfall,1,timesfm25,0.07084363445528963,0.0010729247946320165,0.12176447677547929,True
ghcn_bangladesh,Rainfall,7,timesfm25,-0.00664922194850881,-0.04100842966364698,0.01691991295280162,False
ghcn_bangladesh,Rainfall,30,timesfm25,-0.0021579292646138892,-0.048819598627845906,0.029623688360736342,False
ghcn_bangladesh,Rainfall,1,toto2,0.12472630643180305,0.055455110099390005,0.19335747553768878,True
ghcn_bangladesh,Rainfall,7,toto2,-0.006702864812717646,-0.039156087190641335,0.016179610390632444,False
ghcn_bangladesh,Rainfall,30,toto2,0.010325796770372597,-0.03202111869916337,0.04616820421579179,False
ghcn_bangladesh,Rainfall,1,moirai2,0.08433753897979168,0.004800692789567872,0.14894288927893892,True
ghcn_bangladesh,Rainfall,7,moirai2,-0.013321918750515804,-0.06613908694339272,0.022013562681537504,False
ghcn_bangladesh,Rainfall,30,moirai2,-0.008285557504535745,-0.05643342152470256,0.03262908482387396,False
ghcn_bangladesh,Rainfall,1,chronos_bolt,0.07030256342821606,0.030045266940310317,0.10907133516004044,True
ghcn_bangladesh,Rainfall,7,chronos_bolt,-0.0009021977935654846,-0.031424832913227896,0.021922788023843304,False
ghcn_bangladesh,Rainfall,30,chronos_bolt,0.019499058832181504,-0.009699562509164776,0.045061806156449315,False
ghcn_bangladesh,Rainfall,1,PatchTST,0.07394556269531616,0.00042326149209817875,0.15013579050667858,True
ghcn_bangladesh,Rainfall,7,PatchTST,-0.06995027783065799,-0.11941617232917648,-0.03760566386896765,False
ghcn_bangladesh,Rainfall,30,PatchTST,-0.06468434414249713,-0.1378838928079686,-0.007107840787615821,False
ghcn_bangladesh,Rainfall,1,AutoARIMA,-0.16177467734059947,-0.394955451387803,0.0019129256320574882,False
ghcn_bangladesh,Rainfall,7,AutoARIMA,-0.2431167264448204,-0.5112757118078317,-0.11459604958311645,False
ghcn_bangladesh,Rainfall,30,AutoARIMA,-0.2382147294427035,-0.4364116330458255,-0.12465384811565652,False
ghcn_bangladesh,Rainfall,1,NHITS,0.07359636345153553,0.02462688555515509,0.11422869720590773,True
ghcn_bangladesh,Rainfall,7,NHITS,0.009326928296068515,-0.03048586642579853,0.047465150130135525,False
ghcn_bangladesh,Rainfall,30,NHITS,-0.017711136371791447,-0.04929244973554396,0.0060871565685312375,False
ghcn_bangladesh,Tavg,1,chronos2,0.38827519615798334,0.330003643249883,0.4406189339238562,True
ghcn_bangladesh,Tavg,7,chronos2,0.15611689994547784,0.09612489666074181,0.22117221416902288,True
ghcn_bangladesh,Tavg,30,chronos2,0.08875959557745439,0.03070541971773399,0.1473695551586133,True
ghcn_bangladesh,Tavg,1,tirex,0.3983576473467475,0.33605400270062735,0.45104802188935533,True
ghcn_bangladesh,Tavg,7,tirex,0.14110043075810919,0.07745521796791598,0.20970105781904033,True
ghcn_bangladesh,Tavg,30,tirex,0.053712367511367654,-0.012888691937866015,0.12032265293661414,False
ghcn_bangladesh,Tavg,1,timesfm25,0.39641768676629274,0.33585997833698394,0.4488075860390955,True
ghcn_bangladesh,Tavg,7,timesfm25,0.14429389923298852,0.08332646775601485,0.20732901447362453,True
ghcn_bangladesh,Tavg,30,timesfm25,0.04769584865672749,-0.03956680863015145,0.12299794569182898,False
ghcn_bangladesh,Tavg,1,toto2,0.33085295647532764,0.22474534137874916,0.41441599364078163,True
ghcn_bangladesh,Tavg,7,toto2,0.09196742505950883,0.018291297531645205,0.1692764483014632,True
ghcn_bangladesh,Tavg,30,toto2,-0.04015059183056513,-0.15460896243843023,0.05827644494194413,False
ghcn_bangladesh,Tavg,1,moirai2,0.3810696345682052,0.3186243919370003,0.43568666690659813,True
ghcn_bangladesh,Tavg,7,moirai2,0.10919116422307151,0.038875672344727795,0.18009350770722532,True
ghcn_bangladesh,Tavg,30,moirai2,-0.027356921785385735,-0.13726698166587648,0.07044252880490542,False
ghcn_bangladesh,Tavg,1,chronos_bolt,0.38395539774195975,0.3216967760569262,0.4378400610494632,True
ghcn_bangladesh,Tavg,7,chronos_bolt,0.11548094756113492,0.050654358520532856,0.18414240582454316,True
ghcn_bangladesh,Tavg,30,chronos_bolt,-0.005217091575587807,-0.07964583794586699,0.061234145790282773,False
ghcn_bangladesh,Tavg,1,PatchTST,0.3598534710426279,0.29953334954465366,0.4132030638036363,True
ghcn_bangladesh,Tavg,7,PatchTST,0.15492739803692634,0.09579247861957708,0.2158470525732879,True
ghcn_bangladesh,Tavg,30,PatchTST,0.08756663073603776,0.0344034298399779,0.14344671497544217,True
ghcn_bangladesh,Tavg,1,AutoARIMA,0.3901131311714613,0.3300418995157026,0.44189156651376255,True
ghcn_bangladesh,Tavg,7,AutoARIMA,0.15492911964472478,0.09907002106059797,0.2122829185958081,True
ghcn_bangladesh,Tavg,30,AutoARIMA,0.11101808295068105,0.0531674778253603,0.16917404219779789,True
ghcn_bangladesh,Tavg,1,NHITS,0.3048792255727998,0.2494964617551804,0.35396394624785427,True
ghcn_bangladesh,Tavg,7,NHITS,0.07965373370004547,0.007431303694996,0.1507792625005584,True
ghcn_bangladesh,Tavg,30,NHITS,-0.016518167304792275,-0.08496285933382687,0.05958713404691894,False
ghcn_temperate,Rainfall,1,chronos2,0.02410396191933717,0.016077006798658623,0.03381148467649463,True
ghcn_temperate,Rainfall,7,chronos2,-0.013573962495031067,-0.01763710348595182,-0.008871070265105448,False
ghcn_temperate,Rainfall,30,chronos2,-0.012901868704887631,-0.01710072530814491,-0.009513580124950655,False
ghcn_temperate,Rainfall,1,tirex,0.03213102863023287,0.02023518233008422,0.04598780714489682,True
ghcn_temperate,Rainfall,7,tirex,-0.009794721104559256,-0.014780747201296397,-0.004720307302398816,False
ghcn_temperate,Rainfall,30,tirex,-0.008581365934458463,-0.013125236375086353,-0.005501985727247355,False
ghcn_temperate,Rainfall,1,timesfm25,0.009351197376514464,-0.0012466232410730306,0.0220395090925194,False
ghcn_temperate,Rainfall,7,timesfm25,-0.01726987276049652,-0.02198857293545356,-0.011360169731714538,False
ghcn_temperate,Rainfall,30,timesfm25,-0.01119406292653391,-0.01595066762925059,-0.007166959285700736,False
ghcn_temperate,Rainfall,1,toto2,0.03176121004827215,0.01872659630324525,0.04712154437635692,True
ghcn_temperate,Rainfall,7,toto2,-0.013763920750645697,-0.01873923491272193,-0.008077101235509972,False
ghcn_temperate,Rainfall,30,toto2,-0.013697894423654766,-0.019308691183694403,-0.009555872185588565,False
ghcn_temperate,Rainfall,1,moirai2,0.025612147915909378,0.016165064847590033,0.036403240828226394,True
ghcn_temperate,Rainfall,7,moirai2,-0.016065780560072573,-0.01994456199310714,-0.010490338743441577,False
ghcn_temperate,Rainfall,30,moirai2,-0.01750968258346708,-0.022340311359000477,-0.013253106160686114,False
ghcn_temperate,Rainfall,1,chronos_bolt,0.01802919169088013,0.010418114809094872,0.026706868523076997,True
ghcn_temperate,Rainfall,7,chronos_bolt,-0.015109012636755459,-0.019131305197792835,-0.01032871567841911,False
ghcn_temperate,Rainfall,30,chronos_bolt,-0.01586798016143076,-0.020116732224084777,-0.01258976364423446,False
ghcn_temperate,Rainfall,1,PatchTST,-0.00886706364528611,-0.025522707641099325,0.008014973423744331,False
ghcn_temperate,Rainfall,7,PatchTST,-0.0690293002449549,-0.07763055059586672,-0.061873373047334,False
ghcn_temperate,Rainfall,30,PatchTST,-0.06515869966661691,-0.07741601596817635,-0.05448051364392656,False
ghcn_temperate,Rainfall,1,AutoARIMA,-0.24387840986101073,-0.28783056628895315,-0.20884276540757088,False
ghcn_temperate,Rainfall,7,AutoARIMA,-0.22747546737423008,-0.27119530011738197,-0.19400571887030824,False
ghcn_temperate,Rainfall,30,AutoARIMA,-0.26056646439439657,-0.30922107683309036,-0.2221994590051762,False
ghcn_temperate,Rainfall,1,NHITS,0.016954198382823304,0.005406720772743956,0.02999708661060618,True
ghcn_temperate,Rainfall,7,NHITS,-0.025394551776344976,-0.031103209421588302,-0.020919005322001995,False
ghcn_temperate,Rainfall,30,NHITS,-0.03612242199481219,-0.04190496268411897,-0.031144883133551512,False
ghcn_temperate,Tavg,1,chronos2,0.43129577145309517,0.4115677984685967,0.452918986536113,True
ghcn_temperate,Tavg,7,chronos2,0.07724079866589917,0.0518288612956487,0.1063078103697099,True
ghcn_temperate,Tavg,30,chronos2,0.06555298814039756,0.037913215692868596,0.08762459453276909,True
ghcn_temperate,Tavg,1,tirex,0.43993803863619896,0.41895801325879767,0.46171204786581777,True
ghcn_temperate,Tavg,7,tirex,0.07394005846077079,0.04903836055459678,0.10254069068218327,True
ghcn_temperate,Tavg,30,tirex,0.05823144673815284,0.03162544967229603,0.07923486360830383,True
ghcn_temperate,Tavg,1,timesfm25,0.43418042165111703,0.4134588356714618,0.4556777974087267,True
ghcn_temperate,Tavg,7,timesfm25,0.0712625379967784,0.04509043109597116,0.10121133051843963,True
ghcn_temperate,Tavg,30,timesfm25,0.05687828303595588,0.02754612788136346,0.07998979484808144,True
ghcn_temperate,Tavg,1,toto2,0.4360808249528878,0.4149043444507323,0.4575618572162036,True
ghcn_temperate,Tavg,7,toto2,0.04793614217905695,0.019650041463567726,0.07943288616749343,True
ghcn_temperate,Tavg,30,toto2,0.024836195462320965,-0.01098220129546435,0.05444856139612514,False
ghcn_temperate,Tavg,1,moirai2,0.4307965799927007,0.41056067108108363,0.451133201498007,True
ghcn_temperate,Tavg,7,moirai2,0.06461379930291145,0.0393412076814652,0.09401084000500817,True
ghcn_temperate,Tavg,30,moirai2,0.04505517117657076,0.013316502726189694,0.0706634365171421,True
ghcn_temperate,Tavg,1,chronos_bolt,0.4314241187997604,0.4109446353230166,0.45279319519502026,True
ghcn_temperate,Tavg,7,chronos_bolt,0.075117825802541,0.050567450775117075,0.10297766696530546,True
ghcn_temperate,Tavg,30,chronos_bolt,0.0587841873550663,0.03078812672449871,0.08131477028573159,True
ghcn_temperate,Tavg,1,PatchTST,0.41422746768930885,0.3904637284709407,0.43806431491782066,True
ghcn_temperate,Tavg,7,PatchTST,0.06297715924521097,0.03474508099333876,0.09311835275951705,True
ghcn_temperate,Tavg,30,PatchTST,0.05608680820366185,0.02709560187443938,0.08107662968094258,True
ghcn_temperate,Tavg,1,AutoARIMA,0.43285945331132836,0.4117583082208133,0.45452797799402306,True
ghcn_temperate,Tavg,7,AutoARIMA,0.05849947627345353,0.032389982999216374,0.0872637681062805,True
ghcn_temperate,Tavg,30,AutoARIMA,0.035905935071834705,0.0071002734805672325,0.06141227153414763,True
ghcn_temperate,Tavg,1,NHITS,0.416979336792744,0.39579318626089116,0.43772531780870244,True
ghcn_temperate,Tavg,7,NHITS,0.011672862955045549,-0.005836176373990465,0.03143956161111118,False
ghcn_temperate,Tavg,30,NHITS,-0.0022029556303135855,-0.018092844891423283,0.015405087369450213,False
nasa_power_bmd,ALLSKY_SFC_SW_DWN,1,chronos2,0.22976398405840248,0.18853926881344502,0.26444852820875375,True
nasa_power_bmd,ALLSKY_SFC_SW_DWN,7,chronos2,0.04081186394603464,0.005407102857759546,0.06833303416681269,True
nasa_power_bmd,ALLSKY_SFC_SW_DWN,30,chronos2,0.04050817734700063,0.007944753887387563,0.06489451546528913,True
nasa_power_bmd,ALLSKY_SFC_SW_DWN,1,tirex,0.2321993719562363,0.18759286575810952,0.27037931183167657,True
nasa_power_bmd,ALLSKY_SFC_SW_DWN,7,tirex,0.03664330688034101,-0.0033860053245258646,0.06735806312203106,False
nasa_power_bmd,ALLSKY_SFC_SW_DWN,30,tirex,0.030991584347538015,-0.004140024141271842,0.05689516679781296,False
nasa_power_bmd,ALLSKY_SFC_SW_DWN,1,timesfm25,0.22419052995358946,0.1843434841569149,0.2598137826781692,True
nasa_power_bmd,ALLSKY_SFC_SW_DWN,7,timesfm25,0.03877771662098339,0.0005776731966715917,0.06787972168533125,True
nasa_power_bmd,ALLSKY_SFC_SW_DWN,30,timesfm25,0.03613316174612313,0.0005458872985152464,0.062472687358483464,True
nasa_power_bmd,ALLSKY_SFC_SW_DWN,1,toto2,0.23778163767443794,0.1922127621201844,0.2763535538531539,True
nasa_power_bmd,ALLSKY_SFC_SW_DWN,7,toto2,0.037743024224952126,0.0007126495407254324,0.06627605831503323,True
nasa_power_bmd,ALLSKY_SFC_SW_DWN,30,toto2,0.03389829625230523,0.0021087825212699972,0.058370327913427424,True
nasa_power_bmd,ALLSKY_SFC_SW_DWN,1,moirai2,0.22681557397440688,0.18779974903240987,0.26057674386954305,True
nasa_power_bmd,ALLSKY_SFC_SW_DWN,7,moirai2,0.048731998257365405,0.015555636816758417,0.0751654212278713,True
nasa_power_bmd,ALLSKY_SFC_SW_DWN,30,moirai2,0.041348930249809124,0.010493860845976019,0.06374834823681336,True
nasa_power_bmd,ALLSKY_SFC_SW_DWN,1,chronos_bolt,0.22549210047451929,0.18208642213445053,0.2613043500659648,True
nasa_power_bmd,ALLSKY_SFC_SW_DWN,7,chronos_bolt,0.023398976426222573,-0.0152222930383961,0.05354208803301049,False
nasa_power_bmd,ALLSKY_SFC_SW_DWN,30,chronos_bolt,0.019885848274122542,-0.021412758034523804,0.04978134896007862,False
nasa_power_bmd,ALLSKY_SFC_SW_DWN,1,PatchTST,0.1757520514439851,0.14755649825783632,0.20122950785401342,True
nasa_power_bmd,ALLSKY_SFC_SW_DWN,7,PatchTST,0.04124074552774515,0.012253712528545268,0.06353913109599447,True
nasa_power_bmd,ALLSKY_SFC_SW_DWN,30,PatchTST,0.020700671842464824,-0.004387184149024326,0.04108050203885889,False
nasa_power_bmd,ALLSKY_SFC_SW_DWN,1,AutoARIMA,0.1812915704511947,0.14128361779135878,0.2159925488585605,True
nasa_power_bmd,ALLSKY_SFC_SW_DWN,7,AutoARIMA,-0.00014979437517337324,-0.04241847541016987,0.028678811580043248,False
nasa_power_bmd,ALLSKY_SFC_SW_DWN,30,AutoARIMA,-0.010779258569905803,-0.04644164572812144,0.01850118951894956,False
nasa_power_bmd,ALLSKY_SFC_SW_DWN,1,NHITS,0.16997717053257166,0.12877867256108425,0.20587807934417818,True
nasa_power_bmd,ALLSKY_SFC_SW_DWN,7,NHITS,-0.05585676401039841,-0.10102478799378654,-0.025636316852902127,False
nasa_power_bmd,ALLSKY_SFC_SW_DWN,30,NHITS,-0.05377851353110463,-0.08489024465332758,-0.0267811847916121,False
nasa_power_bmd,PRECTOTCORR,1,chronos2,0.3134543503205426,0.2675771818701496,0.35320156115431467,True
nasa_power_bmd,PRECTOTCORR,7,chronos2,0.11171636528681916,0.06268105334770428,0.15658748343830875,True
nasa_power_bmd,PRECTOTCORR,30,chronos2,0.11520623574372402,0.07286614222726567,0.1523911283847526,True
nasa_power_bmd,PRECTOTCORR,1,tirex,0.32690390449991524,0.2801814816392589,0.36618987313544765,True
nasa_power_bmd,PRECTOTCORR,7,tirex,0.11261982437356843,0.06854708154981978,0.1552939077608523,True
nasa_power_bmd,PRECTOTCORR,30,tirex,0.11797520990839228,0.08113999682869348,0.1509181335659256,True
nasa_power_bmd,PRECTOTCORR,1,timesfm25,0.29543535881415295,0.2525144800872249,0.33414981921906184,True
nasa_power_bmd,PRECTOTCORR,7,timesfm25,0.09673861402750084,0.05376716001337239,0.13791208268365915,True
nasa_power_bmd,PRECTOTCORR,30,timesfm25,0.10283098570036131,0.06714987738807807,0.1365122375409701,True
nasa_power_bmd,PRECTOTCORR,1,toto2,0.3269466016020286,0.28043487853953186,0.3659682816004717,True
nasa_power_bmd,PRECTOTCORR,7,toto2,0.10962743575346268,0.06184631575555452,0.15423028791676224,True
nasa_power_bmd,PRECTOTCORR,30,toto2,0.11222499180566159,0.07604255258634722,0.14455042936457352,True
nasa_power_bmd,PRECTOTCORR,1,moirai2,0.30485440750276016,0.26159625124073305,0.33840195238039505,True
nasa_power_bmd,PRECTOTCORR,7,moirai2,0.10037906703742616,0.060465135972165726,0.13976173287683705,True
nasa_power_bmd,PRECTOTCORR,30,moirai2,0.08577694975471206,0.0508088684636738,0.1166100110900839,True
nasa_power_bmd,PRECTOTCORR,1,chronos_bolt,0.27907311721583705,0.24147670160057114,0.31524433088995707,True
nasa_power_bmd,PRECTOTCORR,7,chronos_bolt,0.09811564545731111,0.0592325177066711,0.135566389601164,True
nasa_power_bmd,PRECTOTCORR,30,chronos_bolt,0.10027939069549474,0.07069397434272862,0.12922211026345218,True
nasa_power_bmd,PRECTOTCORR,1,PatchTST,0.256719250005079,0.19617971402147125,0.3032903913956745,True
nasa_power_bmd,PRECTOTCORR,7,PatchTST,-0.01604190231794944,-0.12077183911236383,0.05428499047726444,False
nasa_power_bmd,PRECTOTCORR,30,PatchTST,0.018088735458899663,-0.04537943206198812,0.0707411698811152,False
nasa_power_bmd,PRECTOTCORR,1,AutoARIMA,0.13123960956955982,0.01792329590418797,0.21055042535341797,True
nasa_power_bmd,PRECTOTCORR,7,AutoARIMA,-0.1312219637725247,-0.3089258789465693,-0.01694489935807604,False
