lead,MASE,sCRPS,coverage80,n_windows,model,base_model,context,CRPSS_vs_clim
6,1.041688329540312,0.8277069048413004,0.7903047703180212,18112,moirai2,moirai2,144,-0.5035817694068618
1,0.7487033913443706,0.5879187277776314,0.8562279151943463,18112,moirai2_ctx1024,moirai2,1024,-0.07331583883087545
2,0.7612165766567854,0.6014395970082482,0.8695340106007067,18112,moirai2_ctx1024,moirai2,1024,-0.0941066772666761
3,0.7561793022453385,0.5967702833413929,0.8387809187279152,18112,moirai2_ctx1024,moirai2,1024,-0.08562749567633388
6,0.7531647774254068,0.5967292418612805,0.7874337455830389,18112,moirai2_ctx1024,moirai2,1024,-0.08399628429658823
1,0.9144012039627765,0.7292549008657293,0.7737963780918727,18112,moirai2_ctx36,moirai2,36,-0.33134189925018975
2,1.0259177613996056,0.8180261697983457,0.7504416961130742,18112,moirai2_ctx36,moirai2,36,-0.4881093612846703
3,1.1447271906533343,0.9040122845517351,0.7263692579505301,18112,moirai2_ctx36,moirai2,36,-0.6445533900304863
6,1.4176830896703636,1.1234779406367084,0.6356007067137809,18112,moirai2_ctx36,moirai2,36,-1.0408685006632927
1,0.9159404462135897,0.7254152466957251,0.7731338339222615,18112,moirai2_ctx72,moirai2,72,-0.32433215208347366
2,1.0418019434671122,0.8302240295524147,0.7428224381625441,18112,moirai2_ctx72,moirai2,72,-0.5102990539348973
3,1.174835883692936,0.9343272317815645,0.7042844522968198,18112,moirai2_ctx72,moirai2,72,-0.6997014782670661
6,1.4582499031759804,1.1626925255571816,0.6251656360424028,18112,moirai2_ctx72,moirai2,72,-1.1121042661696658
1,0.948897764673628,0.8097701355841368,0.8218860424028268,18112,naive,naive,,-0.47833207426488733
2,1.0716234069166775,0.8985716588360612,0.8212787102473498,18112,naive,naive,,-0.634633397643829
3,1.1711509396872672,0.9689465435961248,0.8168065371024735,18112,naive,naive,,-0.7626799439119092
6,1.5226466251242983,1.1876884320167471,0.816696113074205,18112,naive,naive,,-1.1575109059386164
1,0.9795174257915469,0.8292562372568478,0.8073652826855123,18112,seasonal_naive,seasonal_naive,,-0.5139062796341372
2,0.9819309648302355,0.8306494547093123,0.8071996466431095,18112,seasonal_naive,seasonal_naive,,-0.5110729645772198
3,0.9819319091225197,0.8306361197181326,0.8071996466431095,18112,seasonal_naive,seasonal_naive,,-0.5110695616725864
6,0.9820853784168546,0.8305081207491772,0.8071996466431095,18112,seasonal_naive,seasonal_naive,,-0.5086703546858065
1,0.8255155882751407,0.7055373459153685,0.3875883392226148,18112,sundial,sundial,144,-0.28804267065988665
2,0.8904115783687294,0.7496313350880499,0.3841099823321555,18112,sundial,sundial,144,-0.3636891439938241
3,0.9436329138627365,0.7905378825403837,0.4148078621908127,18112,sundial,sundial,144,-0.4381239911180752
6,1.1000533763933829,0.9111558902904788,0.3966983215547703,18112,sundial,sundial,144,-0.655172111909732
1,0.7342041522207224,0.6348941604669228,0.3677120141342756,18112,sundial_ctx1024,sundial,1024,-0.15907510037360395
2,0.7455218529827946,0.6419793881979915,0.37560733215547704,18112,sundial_ctx1024,sundial,1024,-0.1678544924360299
3,0.7381078033356838,0.6325820720391362,0.43534673144876324,18112,sundial_ctx1024,sundial,1024,-0.15077528128981443
6,0.7452663595943746,0.6314911579424805,0.5004969081272085,18112,sundial_ctx1024,sundial,1024,-0.14714349617029487
1,0.899038298462849,0.7663187652971839,0.33005742049469966,18112,sundial_ctx36,sundial,36,-0.39900640943331656
2,1.0239216838250038,0.8648566269258278,0.33430874558303886,18112,sundial_ctx36,sundial,36,-0.5733008187435749
3,1.1224346629891961,0.9489540055493842,0.34452296819787986,18112,sundial_ctx36,sundial,36,-0.726310088344754
6,1.3773366818045216,1.172710596693684,0.31868374558303886,18112,sundial_ctx36,sundial,36,-1.1303027239055647
1,0.8791199898263065,0.7486543898291884,0.42342093639575973,18112,sundial_ctx72,sundial,72,-0.36675798277658633
2,1.0178484641005172,0.8549509967651728,0.38488295053003535,18112,sundial_ctx72,sundial,72,-0.5552810273044722
3,1.150225136242782,0.964640656533803,0.3799690812720848,18112,sundial_ctx72,sundial,72,-0.7548467968557928
6,1.4719911603035842,1.241702423842056,0.3462897526501767,18112,sundial_ctx72,sundial,72,-1.255630727008609
1,0.7814770760701334,0.6366214946265955,0.6743595406360424,18112,timesfm25,timesfm25,144,-0.16222855513688117
2,0.7938633053532568,0.6323060412073768,0.7679439045936396,18112,timesfm25,timesfm25,144,-0.1502572580893129
3,0.789014898680912,0.6251293937573937,0.790083922261484,18112,timesfm25,timesfm25,144,-0.13721758130886386
6,0.7887712380403993,0.6247019098846487,0.8515901060070671,18112,timesfm25,timesfm25,144,-0.1348103990944718
1,0.7187178969068084,0.5817702913082432,0.7805874558303887,18112,timesfm25_ctx1024,timesfm25,1024,-0.06209113389319598
2,0.7265659611256371,0.5813873062100037,0.8185733215547704,18112,timesfm25_ctx1024,timesfm25,1024,-0.0576286246642439
3,0.7309106356497806,0.5818445279541783,0.8308303886925795,18112,timesfm25_ctx1024,timesfm25,1024,-0.058474986755527425
6,0.7363395316382654,0.5807359465554509,0.8447990282685512,18112,timesfm25_ctx1024,timesfm25,1024,-0.054943455192551394
1,0.8548764853034734,0.6917011397440689,0.7580609540636042,18112,timesfm25_ctx36,timesfm25,36,-0.2627830241622804
2,0.9584590405153596,0.7704135825254854,0.7454726148409894,18112,timesfm25_ctx36,timesfm25,36,-0.40149509458805244
3,1.0497684019090794,0.8398932769739136,0.727970406360424,18112,timesfm25_ctx36,timesfm25,36,-0.5279099183880804
6,1.3456188473634552,1.085984927669463,0.6301347173144877,18112,timesfm25_ctx36,timesfm25,36,-0.9727600791339424
1,0.8609644952031624,0.6973396944709865,0.7324977915194346,18112,timesfm25_ctx72,timesfm25,72,-0.27307687909592415
2,0.9802801150587351,0.785923759210844,0.7464112190812721,18112,timesfm25_ctx72,timesfm25,72,-0.4297103766570247
3,1.0888409379520936,0.864777107029516,0.7387367491166078,18112,timesfm25_ctx72,timesfm25,72,-0.5731778730101524
6,1.3764382605994792,1.092174889556105,0.6846841872791519,18112,timesfm25_ctx72,timesfm25,72,-0.9840045351021605
1,0.8143420475137458,0.6402429160805436,0.768827296819788,18112,tirex,tirex,144,-0.16883989242204867
2,0.8440030206034139,0.6699743267205128,0.7919611307420494,18112,tirex,tirex,144,-0.2187813840466275
3,0.8752285601438314,0.6912408970145754,0.8005189929328622,18112,tirex,tirex,144,-0.2574857443189733
6,0.9182046504674718,0.7283634364467566,0.8131625441696113,18112,tirex,tirex,144,-0.32311809668164493
1,0.711586038569608,0.5640232747102507,0.7884275618374559,18112,tirex_ctx1024,tirex,1024,-0.029691835985774295
2,0.7218282852339711,0.5741683814738558,0.7950530035335689,18112,tirex_ctx1024,tirex,1024,-0.044496343723990917
3,0.7175161165848991,0.5710534441843131,0.800077296819788,18112,tirex_ctx1024,tirex,1024,-0.03884415463178659
6,0.7273629958040723,0.5746693356894271,0.8075309187279152,18112,tirex_ctx1024,tirex,1024,-0.04392307412905416
1,0.8547674672804252,0.6812602733608584,0.8047151060070671,18112,tirex_ctx36,tirex,36,-0.24372197587321254
2,0.9405882131788096,0.7492179285137549,0.8210578621908127,18112,tirex_ctx36,tirex,36,-0.3629370969127672
3,1.0311135651518786,0.8186061676558778,0.8175242932862191,18112,tirex_ctx36,tirex,36,-0.48918501565040984
6,1.3112434456298558,1.0281385571575536,0.7656802120141343,18112,tirex_ctx36,tirex,36,-0.8676785005952952
1,0.8797760617525241,0.697198391015775,0.7098056537102474,18112,tirex_ctx72,tirex,72,-0.2728189127658953
2,0.990971333007969,0.784483540332969,0.713560070671378,18112,tirex_ctx72,tirex,72,-0.4270904076711999
3,1.109856388313396,0.8746644650923227,0.7093639575971732,18112,tirex_ctx72,tirex,72,-0.5911646730774731
6,1.4535200999934108,1.1395125316218822,0.6719302120141343,18112,tirex_ctx72,tirex,72,-1.069996345972044
1,0.7590628341728954,0.5946313796333815,0.7969854240282686,18112,toto2,toto2,144,-0.08557058632729997
2,0.7794571587731666,0.6127055758420765,0.7920163427561837,18112,toto2,toto2,144,-0.11460114209631311
3,0.779279059416408,0.6125197288688221,0.7899734982332155,18112,toto2,toto2,144,-0.11427843823081196
6,0.7802115471802213,0.6127628618694704,0.7923476148409894,18112,toto2,toto2,144,-0.11312236576444046
1,0.7042363957355682,0.5498794863640737,0.8008502650176679,18112,toto2_ctx1024,toto2,1024,-0.0038706615006418588
2,0.7118035446448111,0.5568946650936173,0.7930101590106007,18112,toto2_ctx1024,toto2,1024,-0.01307292476913502
3,0.71633504843376,0.5593182270648195,0.7923476148409894,18112,toto2_ctx1024,toto2,1024,-0.017495782019597117
6,0.7154367606530359,0.5585355534990116,0.7837897526501767,18112,toto2_ctx1024,toto2,1024,-0.014615041743192725
1,0.8597224828055513,0.6863860921683534,0.7978136042402827,18112,toto2_ctx36,toto2,36,-0.253079770161988
2,0.9623574139858087,0.7622324899362203,0.8132729681978799,18112,toto2_ctx36,toto2,36,-0.3866124894623224
3,1.0449231832488661,0.822092809093641,0.8324315371024735,18112,toto2_ctx36,toto2,36,-0.4955278144090989
6,1.2656143711314274,0.9992673139164314,0.8425353356890459,18112,toto2_ctx36,toto2,36,-0.8152320672702213
1,0.8189524034876834,0.644203184511455,0.7914090106007067,18112,toto2_ctx72,toto2,72,-0.1760698353241683
2,0.8535454813428652,0.6718319859645985,0.7954394876325088,18112,toto2_ctx72,toto2,72,-0.22216073817154802
3,0.8846714012324142,0.690834747241322,0.8116166077738516,18112,toto2_ctx72,toto2,72,-0.25674688822389813
6,0.9417834372762234,0.740633276684292,0.8168065371024735,18112,toto2_ctx72,toto2,72,-0.34540703493597813
1,0.9214126494812218,0.9214126494812218,0.0,18112,ttm_r2,ttm_r2,144,-0.6821488142173522
2,1.0268418081339838,1.0268418081339838,0.0,18112,ttm_r2,ttm_r2,144,-0.8679755778709917
3,1.1005317921539515,1.1005317921539515,0.0,18112,ttm_r2,ttm_r2,144,-1.0020560788292374
6,1.3921959874971437,1.3921959874971437,0.0,18112,ttm_r2,ttm_r2,144,-1.5290117721603904
1,1.0109524328160642,1.0109524328160642,0.0,18112,ttm_r2_ctx1024,ttm_r2,1024,-0.8456143803204288
2,1.13068208899097,1.13068208899097,0.0,18112,ttm_r2_ctx1024,ttm_r2,1024,-1.0568762508895615
3,1.185051076693307,1.185051076693307,0.0,18112,ttm_r2_ctx1024,ttm_r2,1024,-1.1558111530548838
6,1.3512512809667057,1.3512512809667057,0.0,18112,ttm_r2_ctx1024,ttm_r2,1024,-1.454633131686581
1,0.8569875872272011,0.8569875872272011,0.0,18112,ttm_r2_ctx36,ttm_r2,36,-0.5645331703063461
2,0.9342043601366421,0.9342043601366421,0.0,18112,ttm_r2_ctx36,ttm_r2,36,-0.6994544979104946
3,0.9965537985439238,0.9965537985439238,0.0,18112,ttm_r2_ctx36,ttm_r2,36,-0.8129022754993076
6,1.3474667841823016,1.3474667841823016,0.0,18112,ttm_r2_ctx36,ttm_r2,36,-1.4477583547116324
1,0.9166197502930058,0.9166197502930058,0.0,18112,ttm_r2_ctx72,ttm_r2,72,-0.6733988044463117
2,1.0138360908899706,1.0138360908899706,0.0,18112,ttm_r2_ctx72,ttm_r2,72,-0.8443162741768218
3,1.0840029793549066,1.0840029793549066,0.0,18112,ttm_r2_ctx72,ttm_r2,72,-0.9719873335407512
6,1.4559877439252447,1.4559877439252447,0.0,18112,ttm_r2_ctx72,ttm_r2,72,-1.6448935189994192
