track,var,lead,model,CRPSS_vs_clim
bmd,Rainfall,14,toto2,-0.0146243922856417
bmd,Rainfall,30,toto2,-0.0107265199122188
bmd,Rainfall,1,ttm_r2,-0.5019050015026041
bmd,Rainfall,3,ttm_r2,-0.549922378477598
bmd,Rainfall,7,ttm_r2,-0.5554439775506517
bmd,Rainfall,14,ttm_r2,-0.5646217368465059
bmd,Rainfall,30,ttm_r2,-0.5632799788356591
bmd,Temperature,1,AutoARIMA,0.3472061634291978
bmd,Temperature,3,AutoARIMA,0.1158330196140565
bmd,Temperature,7,AutoARIMA,0.0575674306165642
bmd,Temperature,14,AutoARIMA,0.0442469396777112
bmd,Temperature,30,AutoARIMA,0.0230375633528541
bmd,Temperature,1,NHITS,0.3286848694811598
bmd,Temperature,3,NHITS,0.0445523343574494
bmd,Temperature,7,NHITS,-0.0194615121003902
bmd,Temperature,14,NHITS,-0.0424838138537786
bmd,Temperature,30,NHITS,-0.0376218189809798
bmd,Temperature,1,PatchTST,0.3419676084164169
bmd,Temperature,3,PatchTST,0.116352603007507
bmd,Temperature,7,PatchTST,0.0646566341634992
bmd,Temperature,14,PatchTST,0.0403186811412823
bmd,Temperature,30,PatchTST,0.0179625582155109
bmd,Temperature,1,chronos2,0.3469594960743118
bmd,Temperature,3,chronos2,0.1315673496052137
bmd,Temperature,7,chronos2,0.0566954811217605
bmd,Temperature,14,chronos2,0.0362627269722825
bmd,Temperature,30,chronos2,0.0337194939997953
bmd,Temperature,1,chronos_bolt,0.3452166524639984
bmd,Temperature,3,chronos_bolt,0.1160194483958818
bmd,Temperature,7,chronos_bolt,0.0226585055889948
bmd,Temperature,14,chronos_bolt,-0.0143504305637756
bmd,Temperature,30,chronos_bolt,-0.0593774895762142
bmd,Temperature,1,moirai2,0.3529655057314957
bmd,Temperature,3,moirai2,0.1244048583190157
bmd,Temperature,7,moirai2,0.0261889416389723
bmd,Temperature,14,moirai2,-0.0026130627235798
bmd,Temperature,30,moirai2,-0.0115510425498679
bmd,Temperature,1,sundial,0.2832920834663763
bmd,Temperature,3,sundial,0.0320500255752232
bmd,Temperature,7,sundial,-0.0413917061883775
bmd,Temperature,14,sundial,-0.0637066946774616
bmd,Temperature,30,sundial,-0.0726385624722363
bmd,Temperature,1,timesfm25,0.3606579848848157
bmd,Temperature,3,timesfm25,0.1298109944397399
bmd,Temperature,7,timesfm25,0.0568421703404953
bmd,Temperature,14,timesfm25,0.0368786429477536
bmd,Temperature,30,timesfm25,0.0295318352993504
bmd,Temperature,1,tirex,0.3610840732211403
bmd,Temperature,3,tirex,0.1242769809322537
bmd,Temperature,7,tirex,0.0448029593092014
bmd,Temperature,14,tirex,0.022106261597404
bmd,Temperature,30,tirex,0.0066826466910633
bmd,Temperature,1,toto2,0.2965449206191541
bmd,Temperature,3,toto2,0.061605159618492
bmd,Temperature,7,toto2,-0.0233883191236972
bmd,Temperature,14,toto2,-0.0475177768608021
bmd,Temperature,30,toto2,-0.0670659909266873
bmd,Temperature,1,ttm_r2,0.102279673955218
bmd,Temperature,3,ttm_r2,-0.1672426424706472
bmd,Temperature,7,ttm_r2,-0.3471659011950816
bmd,Temperature,14,ttm_r2,-0.4245516665799762
bmd,Temperature,30,ttm_r2,-0.5226543066757479
bmd,Humidity,1,AutoARIMA,0.2893925029219599
bmd,Humidity,3,AutoARIMA,0.1048665418380386
bmd,Humidity,7,AutoARIMA,0.0470399494887664
bmd,Humidity,14,AutoARIMA,0.0298986666741352
bmd,Humidity,30,AutoARIMA,0.0253971607031754
bmd,Humidity,1,NHITS,0.2755252689057345
bmd,Humidity,3,NHITS,0.0901038883763032
bmd,Humidity,7,NHITS,0.0211439634834839
bmd,Humidity,14,NHITS,0.0008746059069792
bmd,Humidity,30,NHITS,0.0271969585590211
bmd,Humidity,1,PatchTST,0.2830392510442626
bmd,Humidity,3,PatchTST,0.0990723305724528
bmd,Humidity,7,PatchTST,0.0544476197981816
bmd,Humidity,14,PatchTST,0.0437620629987165
bmd,Humidity,30,PatchTST,0.0474030117518947
bmd,Humidity,1,chronos2,0.289180467210491
bmd,Humidity,3,chronos2,0.1208615199482013
bmd,Humidity,7,chronos2,0.0642236810252965
bmd,Humidity,14,chronos2,0.049021648798544
bmd,Humidity,30,chronos2,0.0532454203332061
bmd,Humidity,1,chronos_bolt,0.2843685918452223
bmd,Humidity,3,chronos_bolt,0.1157574680195981
bmd,Humidity,7,chronos_bolt,0.0491556857509908
bmd,Humidity,14,chronos_bolt,0.0338123512024483
bmd,Humidity,30,chronos_bolt,0.0331080349283138
bmd,Humidity,1,moirai2,0.2882035017244705
bmd,Humidity,3,moirai2,0.1069835472208365
bmd,Humidity,7,moirai2,0.0400412671559599
bmd,Humidity,14,moirai2,0.0185163343313985
bmd,Humidity,30,moirai2,0.013990783651453
bmd,Humidity,1,sundial,0.2291995955047838
bmd,Humidity,3,sundial,0.0408543086950867
bmd,Humidity,7,sundial,-0.0093838882579722
bmd,Humidity,14,sundial,-0.023292206133852
bmd,Humidity,30,sundial,-0.0197872581249773
bmd,Humidity,1,timesfm25,0.2941834320809761
bmd,Humidity,3,timesfm25,0.117931254125148
bmd,Humidity,7,timesfm25,0.0622696405749428
bmd,Humidity,14,timesfm25,0.0476481754732381
bmd,Humidity,30,timesfm25,0.0482525742370645
bmd,Humidity,1,tirex,0.2916100641592059
bmd,Humidity,3,tirex,0.1143110534735855
bmd,Humidity,7,tirex,0.0571365530010452
bmd,Humidity,14,tirex,0.0425667735445547
bmd,Humidity,30,tirex,0.0390933382306125
bmd,Humidity,1,toto2,0.1744955324463668
bmd,Humidity,3,toto2,-0.00031102800301
bmd,Humidity,7,toto2,-0.0600111628937789
bmd,Humidity,14,toto2,-0.0696582940545065
bmd,Humidity,30,toto2,-0.0611470774823368
bmd,Humidity,1,ttm_r2,0.052057323505804
bmd,Humidity,3,ttm_r2,-0.1464215007146139
bmd,Humidity,7,ttm_r2,-0.2425504138505951
bmd,Humidity,14,ttm_r2,-0.2636459499356529
bmd,Humidity,30,ttm_r2,-0.2534438306524578
bmd,Sunshine,1,AutoARIMA,0.1442959917672913
bmd,Sunshine,3,AutoARIMA,0.0142472333929712
bmd,Sunshine,7,AutoARIMA,0.0075932769632599
bmd,Sunshine,14,AutoARIMA,0.0074953777323629
bmd,Sunshine,30,AutoARIMA,0.0078517143924556
bmd,Sunshine,1,NHITS,0.1621434919703532
bmd,Sunshine,3,NHITS,0.0288307052966849
bmd,Sunshine,7,NHITS,0.0227668334640196
bmd,Sunshine,14,NHITS,0.0164466909377843
bmd,Sunshine,30,NHITS,0.0178303737846662
bmd,Sunshine,1,PatchTST,0.1614932851935786
bmd,Sunshine,3,PatchTST,0.033224537160327
bmd,Sunshine,7,PatchTST,0.029605674333197
bmd,Sunshine,14,PatchTST,0.0262828796705597
bmd,Sunshine,30,PatchTST,0.0191040415742703
bmd,Sunshine,1,chronos2,0.1784546767073502
bmd,Sunshine,3,chronos2,0.0383942837615219
bmd,Sunshine,7,chronos2,0.0343802552509675
bmd,Sunshine,14,chronos2,0.0335034116757413
bmd,Sunshine,30,chronos2,0.0401077220925821
bmd,Sunshine,1,chronos_bolt,0.1634468111990845
bmd,Sunshine,3,chronos_bolt,0.0192791211644096
bmd,Sunshine,7,chronos_bolt,0.0055151201380887
bmd,Sunshine,14,chronos_bolt,-0.0031733784641485
bmd,Sunshine,30,chronos_bolt,-0.0056725015914682
bmd,Sunshine,1,moirai2,0.1612543283050672
bmd,Sunshine,3,moirai2,0.0066053983751385
bmd,Sunshine,7,moirai2,-0.0159962629767962
bmd,Sunshine,14,moirai2,-0.0373480583109966
bmd,Sunshine,30,moirai2,-0.0681268267631776
bmd,Sunshine,1,sundial,0.098839157963526
bmd,Sunshine,3,sundial,-0.0670679887987637
bmd,Sunshine,7,sundial,-0.0706760735737364
bmd,Sunshine,14,sundial,-0.0787506013213448
bmd,Sunshine,30,sundial,-0.0705317955059086
bmd,Sunshine,1,timesfm25,0.1640494371839558
bmd,Sunshine,3,timesfm25,0.0244057233255737
bmd,Sunshine,7,timesfm25,0.0236838946312518
bmd,Sunshine,14,timesfm25,0.0227565766756716
bmd,Sunshine,30,timesfm25,0.0266669211933234
bmd,Sunshine,1,tirex,0.1756547198664489
bmd,Sunshine,3,tirex,0.0378571800668204
bmd,Sunshine,7,tirex,0.032638402576179
bmd,Sunshine,14,tirex,0.0324773287235695
bmd,Sunshine,30,tirex,0.0336045173418423
bmd,Sunshine,1,toto2,0.1761175810987342
bmd,Sunshine,3,toto2,0.0356249199692854
bmd,Sunshine,7,toto2,0.0340461164468683
bmd,Sunshine,14,toto2,0.0312092655671719
bmd,Sunshine,30,toto2,0.0344051755479406
bmd,Sunshine,1,ttm_r2,-0.1156033347186822
bmd,Sunshine,3,ttm_r2,-0.3161114469148807
bmd,Sunshine,7,ttm_r2,-0.3380442683129854
bmd,Sunshine,14,ttm_r2,-0.338853628823377
bmd,Sunshine,30,ttm_r2,-0.3374913378149291
ghcn_bangladesh,Rainfall,1,AutoARIMA,-0.1804026973606647
ghcn_bangladesh,Rainfall,3,AutoARIMA,-0.2146404448061427
ghcn_bangladesh,Rainfall,7,AutoARIMA,-0.1909929860242423
ghcn_bangladesh,Rainfall,14,AutoARIMA,-0.174290766317789
ghcn_bangladesh,Rainfall,30,AutoARIMA,-0.2360290826556152
ghcn_bangladesh,Rainfall,1,NHITS,0.0599293485178864
ghcn_bangladesh,Rainfall,3,NHITS,0.0087112463537626
ghcn_bangladesh,Rainfall,7,NHITS,0.0089011764730736
ghcn_bangladesh,Rainfall,14,NHITS,-0.0003109153678435
ghcn_bangladesh,Rainfall,30,NHITS,-0.02208307423544
ghcn_bangladesh,Rainfall,1,PatchTST,0.04288840363977
ghcn_bangladesh,Rainfall,3,PatchTST,-0.0707324813033005
ghcn_bangladesh,Rainfall,7,PatchTST,-0.0560080990500109
ghcn_bangladesh,Rainfall,14,PatchTST,-0.0402094702020365
ghcn_bangladesh,Rainfall,30,PatchTST,-0.0760940166862476
ghcn_bangladesh,Rainfall,1,chronos2,0.0861953107487633
ghcn_bangladesh,Rainfall,3,chronos2,0.0290071530585274
ghcn_bangladesh,Rainfall,7,chronos2,0.0170244169062443
ghcn_bangladesh,Rainfall,14,chronos2,0.0275011701625128
ghcn_bangladesh,Rainfall,30,chronos2,0.0188663403175427
ghcn_bangladesh,Rainfall,1,chronos_bolt,0.063060620073401
ghcn_bangladesh,Rainfall,3,chronos_bolt,0.0177677079874047
ghcn_bangladesh,Rainfall,7,chronos_bolt,0.0095317323529285
ghcn_bangladesh,Rainfall,14,chronos_bolt,0.0183199951537039
ghcn_bangladesh,Rainfall,30,chronos_bolt,0.0112317987245943
ghcn_bangladesh,Rainfall,1,moirai2,0.0792265469865594
ghcn_bangladesh,Rainfall,3,moirai2,0.0209886141269348
ghcn_bangladesh,Rainfall,7,moirai2,-0.0015708639228053
ghcn_bangladesh,Rainfall,14,moirai2,0.008265138142548
ghcn_bangladesh,Rainfall,30,moirai2,-0.0280599078075709
ghcn_bangladesh,Rainfall,1,sundial,-0.0233069617289312
ghcn_bangladesh,Rainfall,3,sundial,-0.1184156542007857
ghcn_bangladesh,Rainfall,7,sundial,-0.1294675658640944
ghcn_bangladesh,Rainfall,14,sundial,-0.1069384570873146
ghcn_bangladesh,Rainfall,30,sundial,-0.1642130534390944
ghcn_bangladesh,Rainfall,1,timesfm25,0.0515061392200507
ghcn_bangladesh,Rainfall,3,timesfm25,-0.0075280958455994
ghcn_bangladesh,Rainfall,7,timesfm25,0.0005099684349743
ghcn_bangladesh,Rainfall,14,timesfm25,0.0119536024283036
ghcn_bangladesh,Rainfall,30,timesfm25,-0.0107421226328527
ghcn_bangladesh,Rainfall,1,tirex,0.0897093630864104
ghcn_bangladesh,Rainfall,3,tirex,-0.0079403943563503
ghcn_bangladesh,Rainfall,7,tirex,-0.0110225286337606
ghcn_bangladesh,Rainfall,14,tirex,-0.0009181140856342
ghcn_bangladesh,Rainfall,30,tirex,-0.02282411913135
ghcn_bangladesh,Rainfall,1,toto2,0.0954073894548009
ghcn_bangladesh,Rainfall,3,toto2,0.0219654168567002
ghcn_bangladesh,Rainfall,7,toto2,-0.0030015807456895
ghcn_bangladesh,Rainfall,14,toto2,0.0107348487746485
ghcn_bangladesh,Rainfall,30,toto2,-0.0056302753029122
ghcn_bangladesh,Rainfall,1,ttm_r2,-0.3220334094375192
ghcn_bangladesh,Rainfall,3,ttm_r2,-0.412444154014375
ghcn_bangladesh,Rainfall,7,ttm_r2,-0.4208281411675996
ghcn_bangladesh,Rainfall,14,ttm_r2,-0.3735214700402547
ghcn_bangladesh,Rainfall,30,ttm_r2,-0.4806704127552725
ghcn_bangladesh,Tavg,1,AutoARIMA,0.3168268004605745
ghcn_bangladesh,Tavg,3,AutoARIMA,0.1271253079443559
ghcn_bangladesh,Tavg,7,AutoARIMA,0.0643563170155433
ghcn_bangladesh,Tavg,14,AutoARIMA,0.0485479459919097
ghcn_bangladesh,Tavg,30,AutoARIMA,0.0455591389188598
ghcn_bangladesh,Tavg,1,NHITS,0.246178573568188
ghcn_bangladesh,Tavg,3,NHITS,0.0779441505771832
ghcn_bangladesh,Tavg,7,NHITS,-0.016220073534829
ghcn_bangladesh,Tavg,14,NHITS,0.0038901471437248
ghcn_bangladesh,Tavg,30,NHITS,-0.0472372824596185
ghcn_bangladesh,Tavg,1,PatchTST,0.2865315188952618
ghcn_bangladesh,Tavg,3,PatchTST,0.1211499367497926
ghcn_bangladesh,Tavg,7,PatchTST,0.0723386392877099
ghcn_bangladesh,Tavg,14,PatchTST,0.0494479337192435
ghcn_bangladesh,Tavg,30,PatchTST,0.0269507187761706
ghcn_bangladesh,Tavg,1,chronos2,0.3172072103209949
ghcn_bangladesh,Tavg,3,chronos2,0.1450323205752922
ghcn_bangladesh,Tavg,7,chronos2,0.0660359560769042
ghcn_bangladesh,Tavg,14,chronos2,0.0398515076957579
ghcn_bangladesh,Tavg,30,chronos2,0.0380048243417813
ghcn_bangladesh,Tavg,1,chronos_bolt,0.3160333889804141
ghcn_bangladesh,Tavg,3,chronos_bolt,0.1133385909308873
ghcn_bangladesh,Tavg,7,chronos_bolt,0.0113741240203546
ghcn_bangladesh,Tavg,14,chronos_bolt,-0.0398319222996916
ghcn_bangladesh,Tavg,30,chronos_bolt,-0.0793727313908694
ghcn_bangladesh,Tavg,1,moirai2,0.3006617611754369
ghcn_bangladesh,Tavg,3,moirai2,0.1025106770842925
ghcn_bangladesh,Tavg,7,moirai2,-0.0539623799961668
ghcn_bangladesh,Tavg,14,moirai2,-0.154131258212983
ghcn_bangladesh,Tavg,30,moirai2,-0.2439075434389854
ghcn_bangladesh,Tavg,1,sundial,0.2522220435321366
ghcn_bangladesh,Tavg,3,sundial,0.0425994752194676
ghcn_bangladesh,Tavg,7,sundial,-0.0453327415484008
ghcn_bangladesh,Tavg,14,sundial,-0.0854639697429473
ghcn_bangladesh,Tavg,30,sundial,-0.1178078911659521
ghcn_bangladesh,Tavg,1,timesfm25,0.3269581158495221
ghcn_bangladesh,Tavg,3,timesfm25,0.1284629147971393
ghcn_bangladesh,Tavg,7,timesfm25,0.0251868357130646
ghcn_bangladesh,Tavg,14,timesfm25,-0.0175010359599956
ghcn_bangladesh,Tavg,30,timesfm25,-0.0721451843095488
ghcn_bangladesh,Tavg,1,tirex,0.3278457376075872
ghcn_bangladesh,Tavg,3,tirex,0.1232781935992894
ghcn_bangladesh,Tavg,7,tirex,0.0262189227606777
ghcn_bangladesh,Tavg,14,tirex,-0.0064940939625413
ghcn_bangladesh,Tavg,30,tirex,-0.0446010839148225
ghcn_bangladesh,Tavg,1,toto2,0.1831209158978551
ghcn_bangladesh,Tavg,3,toto2,0.0209663748560018
ghcn_bangladesh,Tavg,7,toto2,-0.0867993424970372
ghcn_bangladesh,Tavg,14,toto2,-0.1494028133342473
ghcn_bangladesh,Tavg,30,toto2,-0.2765582330299039
ghcn_bangladesh,Tavg,1,ttm_r2,0.0890514823178967
ghcn_bangladesh,Tavg,3,ttm_r2,-0.1455348545910366
ghcn_bangladesh,Tavg,7,ttm_r2,-0.3326006760861031
ghcn_bangladesh,Tavg,14,ttm_r2,-0.4409782541137608
ghcn_bangladesh,Tavg,30,ttm_r2,-0.5147603975495876
ghcn_temperate,Rainfall,1,AutoARIMA,-0.247302489608425
ghcn_temperate,Rainfall,3,AutoARIMA,-0.2182987241102407
ghcn_temperate,Rainfall,7,AutoARIMA,-0.228360986121989
ghcn_temperate,Rainfall,14,AutoARIMA,-0.2289585104104747
ghcn_temperate,Rainfall,30,AutoARIMA,-0.2595300056037248
ghcn_temperate,Rainfall,1,NHITS,0.0161047417088927
ghcn_temperate,Rainfall,3,NHITS,-0.0164668069489797
ghcn_temperate,Rainfall,7,NHITS,-0.026146902325133
ghcn_temperate,Rainfall,14,NHITS,-0.0282805239482073
ghcn_temperate,Rainfall,30,NHITS,-0.0370034195726847
ghcn_temperate,Rainfall,1,PatchTST,-0.0094809399880426
ghcn_temperate,Rainfall,3,PatchTST,-0.043639416883729
ghcn_temperate,Rainfall,7,PatchTST,-0.0696192188511446
ghcn_temperate,Rainfall,14,PatchTST,-0.0530559050137018
ghcn_temperate,Rainfall,30,PatchTST,-0.0650843945992101
ghcn_temperate,Rainfall,1,chronos2,0.02384146383067
ghcn_temperate,Rainfall,3,chronos2,-0.0033866745515427
ghcn_temperate,Rainfall,7,chronos2,-0.0143668092634139
ghcn_temperate,Rainfall,14,chronos2,-0.0146589136164692
ghcn_temperate,Rainfall,30,chronos2,-0.0133069758518757
ghcn_temperate,Rainfall,1,chronos_bolt,0.0174211931958626
ghcn_temperate,Rainfall,3,chronos_bolt,-0.0044058717301525
ghcn_temperate,Rainfall,7,chronos_bolt,-0.0159127970139965
ghcn_temperate,Rainfall,14,chronos_bolt,-0.0148743317346788
ghcn_temperate,Rainfall,30,chronos_bolt,-0.016563273191505
ghcn_temperate,Rainfall,1,moirai2,0.0253833781866004
ghcn_temperate,Rainfall,3,moirai2,-0.005086989547238
ghcn_temperate,Rainfall,7,moirai2,-0.0169841296632338
ghcn_temperate,Rainfall,14,moirai2,-0.0193999171881706
ghcn_temperate,Rainfall,30,moirai2,-0.0183139384354176
ghcn_temperate,Rainfall,1,sundial,-0.1478267229282297
ghcn_temperate,Rainfall,3,sundial,-0.1746194641699754
ghcn_temperate,Rainfall,7,sundial,-0.1906998773696888
ghcn_temperate,Rainfall,14,sundial,-0.1896626277465729
ghcn_temperate,Rainfall,30,sundial,-0.2065606284471279
ghcn_temperate,Rainfall,1,timesfm25,0.0079256591082268
ghcn_temperate,Rainfall,3,timesfm25,-0.0124708599204481
ghcn_temperate,Rainfall,7,timesfm25,-0.0183982089964771
ghcn_temperate,Rainfall,14,timesfm25,-0.0171320379414705
ghcn_temperate,Rainfall,30,timesfm25,-0.0114990560257008
ghcn_temperate,Rainfall,1,tirex,0.0308626831421736
ghcn_temperate,Rainfall,3,tirex,-0.0002650324476733
ghcn_temperate,Rainfall,7,tirex,-0.011072318452864
ghcn_temperate,Rainfall,14,tirex,-0.0100604389601037
ghcn_temperate,Rainfall,30,tirex,-0.0090341951102081
ghcn_temperate,Rainfall,1,toto2,0.030225254052021
ghcn_temperate,Rainfall,3,toto2,0.001690372952657
ghcn_temperate,Rainfall,7,toto2,-0.014980212737228
ghcn_temperate,Rainfall,14,toto2,-0.0154318136961071
ghcn_temperate,Rainfall,30,toto2,-0.0142207377123826
ghcn_temperate,Rainfall,1,ttm_r2,-0.5118580749322574
ghcn_temperate,Rainfall,3,ttm_r2,-0.5143941118378952
ghcn_temperate,Rainfall,7,ttm_r2,-0.5354562307163353
ghcn_temperate,Rainfall,14,ttm_r2,-0.5333284334635835
ghcn_temperate,Rainfall,30,ttm_r2,-0.5798484503977968
ghcn_temperate,Tavg,1,AutoARIMA,0.4336781879920561
ghcn_temperate,Tavg,3,AutoARIMA,0.1306194512595386
ghcn_temperate,Tavg,7,AutoARIMA,0.0572176377254005
ghcn_temperate,Tavg,14,AutoARIMA,0.037856194110393
ghcn_temperate,Tavg,30,AutoARIMA,0.0370389695378218
ghcn_temperate,Tavg,1,NHITS,0.4177346481278211
ghcn_temperate,Tavg,3,NHITS,0.1237339717193998
ghcn_temperate,Tavg,7,NHITS,0.01137768767897
ghcn_temperate,Tavg,14,NHITS,-0.0159880153361942
ghcn_temperate,Tavg,30,NHITS,-0.0015821660471397
ghcn_temperate,Tavg,1,PatchTST,0.4150603895419557
ghcn_temperate,Tavg,3,PatchTST,0.1367374889578848
ghcn_temperate,Tavg,7,PatchTST,0.0614988994941183
ghcn_temperate,Tavg,14,PatchTST,0.0464008685946376
ghcn_temperate,Tavg,30,PatchTST,0.0569423896087806
ghcn_temperate,Tavg,1,chronos2,0.4322905759188999
ghcn_temperate,Tavg,3,chronos2,0.1462748337134327
ghcn_temperate,Tavg,7,chronos2,0.0756226815037921
ghcn_temperate,Tavg,14,chronos2,0.0594516318064947
ghcn_temperate,Tavg,30,chronos2,0.0667750968074771
ghcn_temperate,Tavg,1,chronos_bolt,0.4321973788969286
ghcn_temperate,Tavg,3,chronos_bolt,0.1424942988075824
ghcn_temperate,Tavg,7,chronos_bolt,0.0738257761754238
ghcn_temperate,Tavg,14,chronos_bolt,0.0564096405400165
ghcn_temperate,Tavg,30,chronos_bolt,0.0598325297909244
ghcn_temperate,Tavg,1,moirai2,0.431874078790049
ghcn_temperate,Tavg,3,moirai2,0.1408772136624069
ghcn_temperate,Tavg,7,moirai2,0.0631771315338889
ghcn_temperate,Tavg,14,moirai2,0.0443042149211624
ghcn_temperate,Tavg,30,moirai2,0.0458473283408168
ghcn_temperate,Tavg,1,sundial,0.3683621018494614
ghcn_temperate,Tavg,3,sundial,0.0425369037830087
ghcn_temperate,Tavg,7,sundial,-0.0342362710122507
ghcn_temperate,Tavg,14,sundial,-0.0556152387751667
ghcn_temperate,Tavg,30,sundial,-0.0510590219160405
ghcn_temperate,Tavg,1,timesfm25,0.4349699225443534
ghcn_temperate,Tavg,3,timesfm25,0.142071900499798
ghcn_temperate,Tavg,7,timesfm25,0.0697074078636073
ghcn_temperate,Tavg,14,timesfm25,0.0517130190027297
ghcn_temperate,Tavg,30,timesfm25,0.0577795002931689
ghcn_temperate,Tavg,1,tirex,0.4408410225829234
ghcn_temperate,Tavg,3,tirex,0.1465746248593407
ghcn_temperate,Tavg,7,tirex,0.072503399402262
ghcn_temperate,Tavg,14,tirex,0.0587119422163817
ghcn_temperate,Tavg,30,tirex,0.0591922359287709
ghcn_temperate,Tavg,1,toto2,0.4369083239507322
ghcn_temperate,Tavg,3,toto2,0.131530280821042
ghcn_temperate,Tavg,7,toto2,0.0467847342472108
ghcn_temperate,Tavg,14,toto2,0.0206282670218213
ghcn_temperate,Tavg,30,toto2,0.0246907841241785
ghcn_temperate,Tavg,1,ttm_r2,0.1927475235016857
ghcn_temperate,Tavg,3,ttm_r2,-0.1189753741923724
ghcn_temperate,Tavg,7,ttm_r2,-0.2180780699761297
ghcn_temperate,Tavg,14,ttm_r2,-0.235056709747931
ghcn_temperate,Tavg,30,ttm_r2,-0.2393636458725458
nasa_power_bmd,PRECTOTCORR,1,AutoARIMA,0.1312396095695599
nasa_power_bmd,PRECTOTCORR,3,AutoARIMA,-0.0790789815131653
nasa_power_bmd,PRECTOTCORR,7,AutoARIMA,-0.1312219637725244
nasa_power_bmd,PRECTOTCORR,14,AutoARIMA,-0.1380374659962397
nasa_power_bmd,PRECTOTCORR,30,AutoARIMA,-0.1027508877037599
nasa_power_bmd,PRECTOTCORR,1,NHITS,0.2702779373445936
nasa_power_bmd,PRECTOTCORR,3,NHITS,0.0484707891364076
nasa_power_bmd,PRECTOTCORR,7,NHITS,0.0696203465574075
nasa_power_bmd,PRECTOTCORR,14,NHITS,0.0271308625264745
nasa_power_bmd,PRECTOTCORR,30,NHITS,0.0534072239350761
nasa_power_bmd,PRECTOTCORR,1,PatchTST,0.2567192500050792
nasa_power_bmd,PRECTOTCORR,3,PatchTST,0.044772942774496
nasa_power_bmd,PRECTOTCORR,7,PatchTST,-0.0160419023179492
nasa_power_bmd,PRECTOTCORR,14,PatchTST,-0.0041375944084276
nasa_power_bmd,PRECTOTCORR,30,PatchTST,0.0180887354588995
nasa_power_bmd,PRECTOTCORR,1,chronos2,0.3134543503205427
nasa_power_bmd,PRECTOTCORR,3,chronos2,0.1406704228549952
nasa_power_bmd,PRECTOTCORR,7,chronos2,0.1117163652868192
nasa_power_bmd,PRECTOTCORR,14,chronos2,0.1133472063100443
nasa_power_bmd,PRECTOTCORR,30,chronos2,0.115206235743724
nasa_power_bmd,PRECTOTCORR,1,chronos_bolt,0.2790731172158373
nasa_power_bmd,PRECTOTCORR,3,chronos_bolt,0.1280865559216256
nasa_power_bmd,PRECTOTCORR,7,chronos_bolt,0.0981156454573112
nasa_power_bmd,PRECTOTCORR,14,chronos_bolt,0.1025791330533598
nasa_power_bmd,PRECTOTCORR,30,chronos_bolt,0.1002793906954949
nasa_power_bmd,PRECTOTCORR,1,moirai2,0.3048544075027602
